order_item_id,order_id,product_id,seller_id,quantity,unit_price,discount_percent,item_total,cost_price,profit
OITM000046,ORDR000022,PROD001957,SELR000637,1,1860.61,10.4,1667.11,1533.77,133.34
OITM000047,ORDR000023,PROD000592,SELR000343,1,13009.14,8.5,11903.36,10306.27,1597.09
OITM000048,ORDR000024,PROD002159,SELR000821,1,1706.4,14.4,1460.68,1194.13,266.55
OITM000049,ORDR000024,PROD002106,SELR000880,1,1059.65,7.5,980.18,885.11,95.07
OITM000050,ORDR000024,PROD001513,SELR000164,1,6813.44,8.6,6227.48,6060.6,166.88
OITM000051,ORDR000025,PROD002830,SELR000321,3,404.42,22.5,940.28,278.34,105.26
OITM000052,ORDR000025,PROD001974,SELR001127,1,2252.83,29.8,1581.49,1674.95,-93.46
OITM000053,ORDR000026,PROD001625,SELR000480,1,444.98,14.8,379.12,291.42,87.7
OITM000054,ORDR000027,PROD002101,SELR000197,1,752.71,6.2,706.04,556.53,149.51
OITM000055,ORDR000028,PROD000264,SELR000123,1,2601.81,12.9,2266.18,2280.86,-14.68
OITM000056,ORDR000029,PROD002869,SELR000273,2,53717.0,11.8,94756.79,42978.51,8799.77
OITM000057,ORDR000030,PROD003270,SELR000419,1,739.78,7.6,683.56,607.43,76.13
OITM000058,ORDR000030,PROD001380,SELR000972,1,566.62,22.3,440.26,351.61,88.65
OITM000059,ORDR000030,PROD002656,SELR000869,3,5482.9,13.3,14261.02,3605.42,3444.76
OITM000060,ORDR000030,PROD002656,SELR000869,1,5482.9,24.2,4156.04,3605.42,550.62
OITM000061,ORDR000030,PROD002771,SELR000822,1,8812.67,6.6,8231.03,7740.24,490.79
OITM000062,ORDR000031,PROD001748,SELR001190,1,10999.42,8.6,10053.47,9285.0,768.47
OITM000063,ORDR000032,PROD003225,SELR000458,1,474.5,4.3,454.1,420.43,33.67
OITM000064,ORDR000032,PROD002131,SELR000176,2,2077.97,5.3,3935.68,1634.84,666.0
OITM000065,ORDR000032,PROD000190,SELR000969,1,796.68,18.7,647.7,534.83,112.87
OITM000066,ORDR000032,PROD000831,SELR001116,2,609.84,13.3,1057.46,389.76,277.94
OITM000067,ORDR000032,PROD001933,SELR000399,1,564.6,5.4,534.11,518.43,15.68
OITM000068,ORDR000032,PROD001423,SELR000376,1,987.92,23.3,757.73,668.84,88.89
OITM000069,ORDR000032,PROD000769,SELR001158,1,1489.39,5.2,1411.94,1060.92,351.02
OITM000070,ORDR000033,PROD001175,SELR000484,1,1116.95,14.3,957.23,697.65,259.58
OITM000071,ORDR000033,PROD000942,SELR000038,1,1386.84,9.6,1253.7,1127.9,125.8
OITM000072,ORDR000033,PROD000355,SELR000086,3,620.1,16.9,1545.91,454.36,182.83
OITM000073,ORDR000034,PROD002656,SELR000869,1,5482.9,23.0,4221.83,3605.42,616.41
OITM000074,ORDR000034,PROD003124,SELR000827,1,355.34,3.7,342.19,305.44,36.75
OITM000075,ORDR000035,PROD000452,SELR000093,1,847.39,3.5,817.73,620.66,197.07
OITM000076,ORDR000036,PROD001457,SELR000865,2,5083.29,7.7,9383.75,4091.63,1200.49
OITM000077,ORDR000037,PROD001660,SELR000483,1,414.83,9.2,376.67,343.05,33.62
OITM000078,ORDR000037,PROD002358,SELR000571,3,396.91,9.7,1075.23,282.71,227.1
OITM000079,ORDR000038,PROD000669,SELR000733,1,331.04,0.0,331.04,279.85,51.19
OITM000080,ORDR000039,PROD002181,SELR000389,1,140.77,1.3,138.94,123.03,15.91
OITM000081,ORDR000039,PROD000454,SELR000125,1,1749.34,14.7,1492.19,1137.76,354.43
OITM000082,ORDR000039,PROD000670,SELR000826,1,3412.69,22.6,2641.42,2245.11,396.31
OITM000083,ORDR000040,PROD003059,SELR001019,3,5727.58,17.2,14227.31,4192.58,1649.57
OITM000084,ORDR000041,PROD001783,SELR000608,1,2790.8,9.5,2525.67,2057.69,467.98
OITM000085,ORDR000042,PROD000033,SELR000330,2,2641.85,21.4,4152.99,1718.67,715.65
OITM000086,ORDR000043,PROD002573,SELR000819,1,173.91,8.4,159.3,134.31,24.99
OITM000087,ORDR000043,PROD001848,SELR000362,1,5916.56,28.8,4212.59,4330.97,-118.38
OITM000088,ORDR000043,PROD001844,SELR000580,1,4188.17,20.7,3321.22,3369.03,-47.81
OITM000089,ORDR000043,PROD000669,SELR000733,2,331.04,5.2,627.65,279.85,67.95
OITM000090,ORDR000044,PROD001707,SELR000499,3,1181.08,8.7,3234.98,1057.74,61.76
OITM000091,ORDR000045,PROD003065,SELR000114,2,421.31,10.7,752.46,304.61,143.24
OITM000092,ORDR000045,PROD000811,SELR000510,1,6557.71,18.9,5318.3,4118.83,1199.47
OITM000093,ORDR000045,PROD001474,SELR001132,1,13459.28,14.6,11494.23,10592.24,901.99
OITM000094,ORDR000045,PROD000546,SELR001000,1,1505.32,9.6,1360.81,1193.23,167.58
OITM000095,ORDR000045,PROD001128,SELR001180,1,8434.48,14.3,7228.35,6315.3,913.05
OITM000096,ORDR000045,PROD001569,SELR000249,1,462.52,6.6,431.99,303.46,128.53
OITM000097,ORDR000045,PROD000582,SELR000826,1,5139.4,21.7,4024.15,3906.16,117.99
OITM000098,ORDR000046,PROD001292,SELR000897,1,1114.15,22.0,869.04,841.63,27.41
OITM000099,ORDR000047,PROD001233,SELR000487,2,9531.8,4.4,18224.8,6959.75,4305.3
OITM000100,ORDR000047,PROD000943,SELR000680,1,835.72,14.0,718.72,559.03,159.69
OITM000101,ORDR000048,PROD000669,SELR000733,1,331.04,0.0,331.04,279.85,51.19
OITM000102,ORDR000049,PROD002103,SELR000948,3,5757.81,7.1,16047.02,4335.59,3040.25
OITM000103,ORDR000049,PROD001561,SELR000808,1,1355.58,10.5,1213.24,848.98,364.26
OITM000104,ORDR000050,PROD000164,SELR000988,1,2073.99,15.9,1744.23,1618.83,125.4
OITM000105,ORDR000051,PROD000419,SELR000136,1,1274.45,7.2,1182.69,1121.23,61.46
OITM000106,ORDR000052,PROD000195,SELR001122,3,77153.35,5.7,218266.83,61504.21,33754.2
OITM000107,ORDR000053,PROD000338,SELR000392,1,4121.25,4.9,3919.31,3431.81,487.5
OITM000108,ORDR000054,PROD000338,SELR000392,1,4121.25,6.6,3849.25,3431.81,417.44
OITM000109,ORDR000055,PROD003453,SELR000248,1,232.66,10.9,207.3,164.27,43.03
OITM000110,ORDR000056,PROD000897,SELR000781,5,1396.81,1.1,6907.23,1269.16,561.43
OITM000111,ORDR000057,PROD002286,SELR001171,1,18415.35,8.9,16776.38,13485.99,3290.39
OITM000112,ORDR000058,PROD000026,SELR000555,1,517.31,16.7,430.92,368.76,62.16
OITM000113,ORDR000058,PROD002960,SELR001040,1,2100.29,11.2,1865.06,1651.27,213.79
OITM000114,ORDR000059,PROD001063,SELR000763,2,494.23,19.0,800.65,355.65,89.35
OITM000115,ORDR000059,PROD000361,SELR000251,1,40.37,0.0,40.37,36.38,3.99
OITM000116,ORDR000059,PROD000355,SELR000086,1,620.1,2.4,605.22,454.36,150.86
OITM000117,ORDR000059,PROD000592,SELR000343,1,13009.14,15.8,10953.7,10306.27,647.43
OITM000118,ORDR000059,PROD002847,SELR000818,1,7679.48,12.3,6734.9,5999.78,735.12
OITM000119,ORDR000060,PROD000744,SELR000703,3,279.55,10.9,747.24,261.8,-38.16
OITM000120,ORDR000061,PROD001155,SELR000108,1,3321.52,11.4,2942.87,2448.25,494.62
OITM000121,ORDR000062,PROD000728,SELR000341,1,50.61,9.7,45.7,44.57,1.13
OITM000122,ORDR000062,PROD003343,SELR000455,1,187.91,19.9,150.52,156.11,-5.59
OITM000123,ORDR000062,PROD002382,SELR000369,1,440.51,16.6,367.39,324.57,42.82
OITM000124,ORDR000063,PROD001205,SELR000040,1,16158.11,15.2,13702.08,12905.47,796.61
OITM000125,ORDR000064,PROD002308,SELR000336,1,514.84,17.5,424.74,406.91,17.83
OITM000126,ORDR000064,PROD002869,SELR000273,2,53717.0,8.6,98194.68,42978.51,12237.66
OITM000127,ORDR000064,PROD002711,SELR000153,3,478.74,25.6,1068.55,341.01,45.52
OITM000128,ORDR000065,PROD000592,SELR000343,1,13009.14,10.6,11630.17,10306.27,1323.9
OITM000129,ORDR000065,PROD003250,SELR000590,1,7305.13,9.2,6633.06,5957.93,675.13
OITM000130,ORDR000066,PROD001233,SELR000487,2,9531.8,15.4,16127.81,6959.75,2208.31
OITM000131,ORDR000066,PROD002039,SELR000921,1,1395.11,22.0,1088.19,999.32,88.87
OITM000132,ORDR000067,PROD000210,SELR000742,1,14048.76,12.2,12334.81,10451.91,1882.9
OITM000133,ORDR000067,PROD000592,SELR000343,3,13009.14,8.8,35593.01,10306.27,4674.2
OITM000134,ORDR000067,PROD002828,SELR000624,1,4246.91,14.3,3639.6,2766.5,873.1
OITM000135,ORDR000067,PROD000906,SELR000134,1,281.84,17.0,233.93,200.88,33.05
OITM000136,ORDR000067,PROD000592,SELR000343,1,13009.14,11.6,11500.08,10306.27,1193.81
OITM000137,ORDR000067,PROD000355,SELR000086,1,620.1,3.3,599.64,454.36,145.28
OITM000138,ORDR000068,PROD000837,SELR001177,1,531.78,8.4,487.11,494.91,-7.8
OITM000139,ORDR000068,PROD000080,SELR000761,1,1285.08,19.0,1040.91,973.45,67.46
OITM000140,ORDR000069,PROD000932,SELR000075,1,1132.66,11.0,1008.07,919.85,88.22
OITM000141,ORDR000070,PROD003468,SELR000155,1,57.09,0.0,57.09,49.87,7.22
OITM000142,ORDR000070,PROD001988,SELR000756,1,303.62,17.9,249.27,216.96,32.31
OITM000143,ORDR000070,PROD003086,SELR000356,4,255.87,1.8,1005.06,202.47,195.18
OITM000144,ORDR000070,PROD002286,SELR001171,1,18415.35,10.2,16536.98,13485.99,3050.99
OITM000145,ORDR000071,PROD002358,SELR000571,1,396.91,19.7,318.72,282.71,36.01
OITM000146,ORDR000072,PROD000674,SELR001018,1,2808.44,9.7,2536.02,2144.43,391.59
OITM000147,ORDR000072,PROD000486,SELR001116,1,1298.02,14.7,1107.21,820.62,286.59
OITM000148,ORDR000072,PROD000923,SELR000815,1,1026.3,14.2,880.57,777.0,103.57
OITM000149,ORDR000072,PROD001933,SELR000399,1,564.6,11.5,499.67,518.43,-18.76
OITM000150,ORDR000073,PROD002208,SELR000594,1,6257.36,7.3,5800.57,4401.41,1399.16
OITM000151,ORDR000073,PROD000321,SELR001188,1,1787.96,10.7,1596.65,1495.62,101.03
OITM000152,ORDR000073,PROD002005,SELR000416,2,5174.02,17.7,8516.44,3874.37,767.7
OITM000153,ORDR000074,PROD001815,SELR000894,1,733.3,23.2,563.17,473.41,89.76
OITM000154,ORDR000074,PROD000669,SELR000733,1,331.04,5.0,314.49,279.85,34.64
OITM000155,ORDR000075,PROD001810,SELR001025,2,2233.02,8.7,4077.49,1589.98,897.53
OITM000156,ORDR000076,PROD001611,SELR000838,2,3715.96,9.7,6711.02,3053.74,603.54
OITM000157,ORDR000076,PROD002788,SELR000562,1,506.22,27.1,369.03,369.05,-0.02
OITM000158,ORDR000076,PROD002803,SELR000910,1,652.08,4.8,620.78,506.73,114.05
OITM000159,ORDR000077,PROD002869,SELR000273,1,53717.0,15.1,45605.73,42978.51,2627.22
OITM000160,ORDR000077,PROD002485,SELR000362,3,995.78,7.4,2766.28,647.47,823.87
OITM000161,ORDR000078,PROD002656,SELR000869,1,5482.9,10.8,4890.75,3605.42,1285.33
OITM000162,ORDR000079,PROD000220,SELR000897,1,13206.81,3.2,12784.19,11238.28,1545.91
OITM000163,ORDR000079,PROD003106,SELR000788,1,373.31,15.3,316.19,284.91,31.28
OITM000164,ORDR000079,PROD001468,SELR000435,1,2913.43,14.5,2490.98,2048.38,442.6
OITM000165,ORDR000080,PROD003417,SELR000769,1,2808.35,14.7,2395.52,1881.84,513.68
OITM000166,ORDR000081,PROD003151,SELR000104,1,1119.59,22.4,868.8,801.98,66.82
OITM000167,ORDR000082,PROD000809,SELR000960,1,16461.1,5.6,15539.28,14415.93,1123.35
OITM000168,ORDR000082,PROD000582,SELR000826,1,5139.4,9.9,4630.6,3906.16,724.44
OITM000169,ORDR000083,PROD003453,SELR000248,1,232.66,9.9,209.63,164.27,45.36
OITM000170,ORDR000083,PROD002769,SELR000514,2,3556.78,7.2,6601.38,2519.9,1561.58
OITM000171,ORDR000083,PROD002842,SELR000607,1,10435.46,9.3,9464.96,9129.42,335.54
OITM000172,ORDR000084,PROD000592,SELR000343,1,13009.14,8.6,11890.35,10306.27,1584.08
OITM000173,ORDR000084,PROD002055,SELR000469,1,11328.47,5.8,10671.42,9311.63,1359.79
OITM000174,ORDR000085,PROD002734,SELR000002,1,460.51,13.9,396.5,365.32,31.18
OITM000175,ORDR000085,PROD002581,SELR001149,2,29231.43,12.7,51038.08,22937.83,5162.42
OITM000176,ORDR000086,PROD000478,SELR000072,1,2756.45,9.2,2502.86,1999.35,503.51
OITM000177,ORDR000087,PROD000227,SELR000071,3,1437.1,9.4,3906.04,1077.57,673.33
OITM000178,ORDR000088,PROD001697,SELR000154,4,3119.12,27.5,9045.45,2194.46,267.61
OITM000179,ORDR000088,PROD000581,SELR000540,1,741.51,3.5,715.56,626.78,88.78
OITM000180,ORDR000089,PROD001933,SELR000399,1,564.6,9.6,510.4,518.43,-8.03
OITM000181,ORDR000090,PROD000033,SELR000330,1,2641.85,8.9,2406.73,1718.67,688.06
OITM000182,ORDR000091,PROD001159,SELR000759,1,1438.94,0.8,1427.43,1225.24,202.19
OITM000183,ORDR000091,PROD000135,SELR001033,1,1288.29,8.6,1177.5,945.85,231.65
OITM000184,ORDR000091,PROD002047,SELR000495,1,2532.89,10.7,2261.87,1959.45,302.42
OITM000185,ORDR000091,PROD002091,SELR000419,1,785.42,12.7,685.67,619.37,66.3
OITM000186,ORDR000092,PROD000695,SELR000209,3,805.19,11.1,2147.44,557.89,473.77
OITM000187,ORDR000092,PROD003105,SELR000736,1,10758.67,11.7,9499.91,8650.47,849.44
OITM000188,ORDR000093,PROD000795,SELR000592,1,4246.6,12.8,3703.04,2778.78,924.26
OITM000189,ORDR000094,PROD002869,SELR000273,1,53717.0,3.9,51622.04,42978.51,8643.53
OITM000190,ORDR000095,PROD002286,SELR001171,1,18415.35,8.8,16794.8,13485.99,3308.81
OITM000191,ORDR000095,PROD000137,SELR000849,1,1742.81,10.2,1565.04,1124.2,440.84
OITM000192,ORDR000095,PROD000355,SELR000086,1,620.1,18.4,506.0,454.36,51.64
OITM000193,ORDR000095,PROD002074,SELR001062,1,314.66,11.0,280.05,262.2,17.85
OITM000194,ORDR000095,PROD002746,SELR000421,1,3211.62,29.4,2267.4,1984.43,282.97
OITM000195,ORDR000095,PROD001530,SELR000153,1,3216.41,27.1,2344.76,1998.65,346.11
OITM000196,ORDR000095,PROD002350,SELR000281,1,1301.7,19.0,1054.38,1049.09,5.29
OITM000197,ORDR000095,PROD002647,SELR000634,1,1009.67,18.4,823.89,730.82,93.07
OITM000198,ORDR000096,PROD000448,SELR000969,3,5494.16,22.3,12806.89,3355.15,2741.44
OITM000199,ORDR000097,PROD000098,SELR000923,1,3783.53,16.4,3163.03,2513.13,649.9
OITM000200,ORDR000098,PROD000070,SELR000778,1,504.11,8.1,463.28,394.05,69.23
OITM000201,ORDR000098,PROD000669,SELR000733,1,331.04,9.2,300.58,279.85,20.73
OITM000202,ORDR000099,PROD002359,SELR000183,1,2947.04,10.7,2631.71,2002.83,628.88
OITM000203,ORDR000100,PROD002997,SELR000444,1,4084.62,28.9,2904.16,2998.11,-93.95
OITM000204,ORDR000100,PROD000104,SELR000902,1,69590.1,3.6,67084.86,58613.27,8471.59
OITM000205,ORDR000101,PROD002438,SELR001013,1,80.26,6.1,75.36,68.92,6.44
OITM000206,ORDR000102,PROD001083,SELR000608,4,59108.6,5.2,224139.81,52338.51,14785.77
OITM000207,ORDR000102,PROD001461,SELR000718,1,951.16,10.5,851.29,719.8,131.49
OITM000208,ORDR000103,PROD000897,SELR000781,2,1396.81,6.5,2612.03,1269.16,73.71
OITM000209,ORDR000104,PROD000157,SELR001139,1,506.28,12.0,445.53,377.01,68.52
OITM000210,ORDR000105,PROD001416,SELR001111,1,448.22,17.0,372.02,336.61,35.41
OITM000211,ORDR000105,PROD002130,SELR000072,1,18014.46,3.6,17365.94,13402.65,3963.29
OITM000212,ORDR000106,PROD002475,SELR000852,1,1017.59,18.4,830.35,696.27,134.08
OITM000213,ORDR000106,PROD002872,SELR000874,1,221.83,4.1,212.73,194.41,18.32
OITM000214,ORDR000106,PROD000669,SELR000733,1,331.04,10.8,295.29,279.85,15.44
OITM000215,ORDR000107,PROD003015,SELR000709,1,383.25,13.8,330.36,315.06,15.3
OITM000216,ORDR000108,PROD002464,SELR000702,1,5591.07,8.1,5138.19,4376.88,761.31
OITM000217,ORDR000108,PROD001864,SELR001125,2,641.47,12.6,1121.29,435.03,251.23
OITM000218,ORDR000108,PROD002722,SELR000598,1,834.08,17.5,688.12,527.49,160.63
OITM000219,ORDR000109,PROD001914,SELR000195,1,222.86,0.0,222.86,202.04,20.82
OITM000220,ORDR000109,PROD001416,SELR001111,2,448.22,11.9,789.76,336.61,116.54
OITM000221,ORDR000110,PROD001676,SELR001117,1,3920.81,22.7,3030.79,2731.44,299.35
OITM000222,ORDR000111,PROD002786,SELR000973,1,2470.06,7.3,2289.75,1708.19,581.56
OITM000223,ORDR000111,PROD002512,SELR000294,1,455.35,10.0,409.82,377.7,32.12
OITM000224,ORDR000111,PROD001376,SELR000074,1,3551.51,19.3,2866.07,2673.17,192.9
OITM000225,ORDR000111,PROD001557,SELR000099,1,3493.43,16.4,2920.51,2630.7,289.81
OITM000226,ORDR000112,PROD002286,SELR001171,1,18415.35,6.2,17273.6,13485.99,3787.61
OITM000227,ORDR000112,PROD001968,SELR000803,1,304.14,6.5,284.37,232.03,52.34
OITM000228,ORDR000112,PROD001660,SELR000483,2,414.83,6.8,773.24,343.05,87.14
OITM000229,ORDR000112,PROD001330,SELR000849,1,6259.72,20.4,4982.74,5012.46,-29.72
OITM000230,ORDR000112,PROD001461,SELR000718,1,951.16,15.5,803.73,719.8,83.93
OITM000231,ORDR000113,PROD002869,SELR000273,1,53717.0,5.8,50601.41,42978.51,7622.9
OITM000232,ORDR000113,PROD001770,SELR000199,2,1575.18,4.2,3018.04,1042.02,934.0
OITM000233,ORDR000114,PROD003209,SELR001123,1,1067.93,10.9,951.53,737.12,214.41
OITM000234,ORDR000114,PROD001702,SELR000270,1,2839.28,22.3,2206.12,1900.86,305.26
OITM000235,ORDR000114,PROD002036,SELR001155,2,4180.63,9.2,7592.02,3313.63,964.76
OITM000236,ORDR000115,PROD001878,SELR000332,1,10606.82,13.0,9227.93,8782.1,445.83
OITM000237,ORDR000116,PROD003240,SELR000932,1,366.45,4.2,351.06,296.8,54.26
OITM000238,ORDR000116,PROD002830,SELR000321,2,404.42,25.7,600.97,278.34,44.29
OITM000239,ORDR000116,PROD001005,SELR000064,1,547.48,14.7,467.0,404.27,62.73
OITM000240,ORDR000116,PROD000356,SELR000393,2,169.32,14.6,289.2,133.66,21.88
OITM000241,ORDR000116,PROD003106,SELR000788,1,373.31,6.8,347.92,284.91,63.01
OITM000242,ORDR000116,PROD001864,SELR001125,1,641.47,15.5,542.04,435.03,107.01
OITM000243,ORDR000116,PROD003422,SELR000917,1,1220.05,21.4,958.96,798.97,159.99
OITM000244,ORDR000116,PROD003374,SELR000192,1,1175.75,8.1,1080.51,969.29,111.22
OITM000245,ORDR000117,PROD003242,SELR000416,1,518.28,4.8,493.4,462.67,30.73
OITM000246,ORDR000117,PROD001981,SELR000133,1,893.94,17.3,739.29,614.25,125.04
OITM000247,ORDR000118,PROD000136,SELR000197,4,566.16,15.4,1915.89,420.55,233.69
OITM000248,ORDR000119,PROD003322,SELR000828,1,1673.0,17.7,1376.88,1284.99,91.89
OITM000249,ORDR000119,PROD000897,SELR000781,2,1396.81,1.7,2746.13,1269.16,207.81
OITM000250,ORDR000119,PROD001842,SELR001162,1,5769.88,12.2,5065.95,4829.9,236.05
OITM000251,ORDR000120,PROD000765,SELR000806,1,918.4,18.3,750.33,671.29,79.04
OITM000252,ORDR000120,PROD003133,SELR001044,3,3293.02,9.9,8901.03,2375.07,1775.82
OITM000253,ORDR000120,PROD001461,SELR000718,1,951.16,10.4,852.24,719.8,132.44
OITM000254,ORDR000121,PROD001933,SELR000399,2,564.6,2.2,1104.36,518.43,67.5
OITM000255,ORDR000122,PROD001770,SELR000199,1,1575.18,7.4,1458.62,1042.02,416.6
OITM000256,ORDR000123,PROD001933,SELR000399,1,564.6,3.7,543.71,518.43,25.28
OITM000257,ORDR000123,PROD000592,SELR000343,1,13009.14,13.1,11304.94,10306.27,998.67
OITM000258,ORDR000124,PROD001107,SELR000317,1,77374.17,5.7,72963.84,63907.01,9056.83
OITM000259,ORDR000125,PROD000195,SELR001122,1,77153.35,14.6,65888.96,61504.21,4384.75
OITM000260,ORDR000126,PROD002823,SELR000614,2,4642.03,23.1,7139.44,3126.11,887.22
OITM000261,ORDR000126,PROD000852,SELR000221,1,793.97,7.3,736.01,616.9,119.11
OITM000262,ORDR000126,PROD003455,SELR000523,1,1227.07,8.0,1128.9,960.31,168.59
OITM000263,ORDR000126,PROD002746,SELR000421,1,3211.62,22.4,2492.22,1984.43,507.79
OITM000264,ORDR000127,PROD003133,SELR001044,1,3293.02,10.2,2957.13,2375.07,582.06
OITM000265,ORDR000128,PROD002113,SELR000650,1,889.54,3.7,856.63,792.57,64.06
OITM000266,ORDR000129,PROD003107,SELR000455,1,3874.85,21.9,3026.26,2962.32,63.94
OITM000267,ORDR000129,PROD000043,SELR000637,1,14036.94,12.2,12324.43,11074.18,1250.25
OITM000268,ORDR000129,PROD001089,SELR000436,1,742.24,14.7,633.13,580.74,52.39
OITM000269,ORDR000129,PROD000628,SELR000231,1,3848.41,5.7,3629.05,3187.61,441.44
OITM000270,ORDR000130,PROD002484,SELR000368,1,2369.69,5.4,2241.73,2045.2,196.53
OITM000271,ORDR000130,PROD001770,SELR000199,1,1575.18,14.0,1354.65,1042.02,312.63
OITM000272,ORDR000130,PROD003106,SELR000788,2,373.31,16.0,627.16,284.91,57.34
OITM000273,ORDR000130,PROD002143,SELR000161,1,1037.54,4.3,992.93,758.69,234.24
OITM000274,ORDR000130,PROD000592,SELR000343,2,13009.14,18.5,21204.9,10306.27,592.36
OITM000275,ORDR000131,PROD001882,SELR001048,4,2146.93,17.4,7093.46,1499.01,1097.42
OITM000276,ORDR000131,PROD003479,SELR000174,1,258.69,2.5,252.22,228.66,23.56
OITM000277,ORDR000132,PROD001331,SELR001080,3,1728.47,5.5,4900.21,1313.58,959.47
OITM000278,ORDR000132,PROD001864,SELR001125,3,641.47,18.9,1560.7,435.03,255.61
OITM000279,ORDR000132,PROD003329,SELR000945,1,766.56,27.5,555.76,493.29,62.47
OITM000280,ORDR000132,PROD002237,SELR000664,1,262.26,22.8,202.46,209.42,-6.96
OITM000281,ORDR000132,PROD002286,SELR001171,1,18415.35,11.8,16242.34,13485.99,2756.35
OITM000282,ORDR000133,PROD003086,SELR000356,4,255.87,6.4,957.98,202.47,148.1
OITM000283,ORDR000133,PROD002246,SELR000545,1,1027.12,20.4,817.59,754.99,62.6
OITM000284,ORDR000134,PROD000323,SELR000590,2,1482.56,15.6,2502.56,1185.77,131.02
