seller_id,seller_name,seller_city,seller_state,seller_signup_date,primary_category,seller_rating,seller_tier
SELR000172,Negi Toon Hub,Indore,Madhya Pradesh,2025-01-07,Toys & Baby Products,3.5,Medium
SELR000173,Bajwa Kitchen Bazaar,Vijayawada,Andhra Pradesh,2024-02-23,Home & Kitchen,3.5,Medium
SELR000174,Fresh Global,Jodhpur,Rajasthan,2024-01-21,Grocery,4.9,Low
SELR000175,Desai Joy Solutions,Indore,Madhya Pradesh,2022-11-11,Toys & Baby Products,3.6,Medium
SELR000176,Circuit Hub,Faridabad,Haryana,2023-04-11,Electronics,4.5,High
SELR000177,Ganguly Global,Ludhiana,Punjab,2025-03-05,Sports & Fitness,4.0,Medium
SELR000178,Farm Trading Co,Moradabad,Uttar Pradesh,2023-08-11,Grocery,2.7,Low
SELR000179,Bloom Enterprises,Mumbai,Maharashtra,2022-08-18,Beauty & Personal Care,4.3,Low
SELR000180,Arora Home Trading Co,Cuttack,Odisha,2024-10-18,Home & Kitchen,3.0,Low
SELR000181,Chatterjee Industries,Delhi,Delhi,2024-08-27,Home & Kitchen,3.3,Low
SELR000182,Byte Impex,Jabalpur,Madhya Pradesh,2022-09-23,Electronics,3.8,Low
SELR000183,Menon Charm Hub,Mumbai,Maharashtra,2022-09-06,Beauty & Personal Care,3.8,Medium
SELR000184,Das Textiles,Hyderabad,Telangana,2022-11-19,Toys & Baby Products,3.0,Medium
SELR000185,Playful Trading Co,Delhi,Delhi,2022-09-06,Toys & Baby Products,3.3,Low
SELR000186,Mukherjee Stores,Jaipur,Rajasthan,2024-06-11,Electronics,3.6,Medium
SELR000187,Pillai Power Electricals,Ahmedabad,Gujarat,2022-12-08,Sports & Fitness,4.2,Medium
SELR000188,Naidu Creations,Bengaluru,Karnataka,2024-05-31,Fashion,4.4,High
SELR000189,Banerjee Kiddo Textiles,Jaipur,Rajasthan,2023-01-26,Toys & Baby Products,3.7,Low
SELR000190,Parmar Circuit Impex,Gurugram,Haryana,2025-07-22,Electronics,4.3,Medium
SELR000191,Rastogi Stores,Dehradun,Uttarakhand,2024-10-14,Toys & Baby Products,4.6,Low
SELR000192,Grain Bazaar,Prayagraj,Uttar Pradesh,2023-09-09,Grocery,4.6,Medium
SELR000193,Circuit Bazaar,Coimbatore,Tamil Nadu,2023-11-10,Electronics,4.3,High
SELR000194,Bhat Enterprises,Mumbai,Maharashtra,2022-09-22,Electronics,3.0,Low
SELR000195,Organic Ventures,Pune,Maharashtra,2022-09-10,Grocery,4.2,Medium
SELR000196,Saxena Vogue Industries,Kozhikode,Kerala,2024-03-13,Fashion,3.9,Medium
SELR000197,Agarwal Glow Solutions,Mumbai,Maharashtra,2022-08-04,Beauty & Personal Care,4.4,Medium
SELR000198,Toon Traders,Gurugram,Haryana,2024-07-06,Toys & Baby Products,3.8,Low
SELR000199,Agnihotri Glow Solutions,Solapur,Maharashtra,2023-09-18,Beauty & Personal Care,4.7,Medium
SELR000200,Bose Nest Enterprises,Gorakhpur,Uttar Pradesh,2022-12-16,Home & Kitchen,4.7,Medium
SELR000201,Kapoor Traders,Noida,Uttar Pradesh,2024-03-11,Home & Kitchen,4.2,Low
SELR000202,Tiwari Gadget Collection,Kochi,Kerala,2024-03-31,Electronics,4.1,Low
SELR000203,Little Stores,Jaipur,Rajasthan,2024-11-06,Toys & Baby Products,4.4,Medium
SELR000204,Fabric Junction,Vijayawada,Andhra Pradesh,2023-02-20,Fashion,4.5,High
SELR000205,Rana Traders,Delhi,Delhi,2024-03-25,Fashion,4.4,High
SELR000206,Trend Impex,Bengaluru,Karnataka,2025-02-26,Fashion,4.4,Medium
SELR000207,Joy Industries,Ghaziabad,Uttar Pradesh,2023-05-13,Toys & Baby Products,4.7,High
SELR000208,Kamath Traders,Chennai,Tamil Nadu,2025-02-16,Electronics,3.9,Medium
SELR000209,Agnihotri Point,Kochi,Kerala,2024-10-11,Grocery,4.6,High
SELR000210,Bhattacharya Fit Hub,Kolkata,West Bengal,2023-11-11,Sports & Fitness,3.2,Medium
SELR000211,Pillai Fresh Impex,Ajmer,Rajasthan,2025-04-11,Grocery,3.9,Medium
SELR000212,Kaul Collection,Raipur,Chhattisgarh,2025-07-16,Toys & Baby Products,3.7,Medium
SELR000213,Zutshi Harvest Traders,Surat,Gujarat,2023-04-06,Grocery,4.3,Medium
SELR000214,Rathore Electricals,Guwahati,Assam,2025-07-30,Toys & Baby Products,3.4,Low
SELR000215,Kaul Textiles,Chennai,Tamil Nadu,2022-07-12,Electronics,3.9,Low
SELR000216,Kapoor Distributors,Surat,Gujarat,2022-12-04,Books,5.0,Low
SELR000217,Kamath Radiance Bazaar,Hyderabad,Telangana,2022-08-28,Beauty & Personal Care,4.3,High
SELR000218,Arora Glow Trading Co,Moradabad,Uttar Pradesh,2023-09-02,Beauty & Personal Care,4.1,High
SELR000219,Gill Point,Jodhpur,Rajasthan,2025-06-12,Toys & Baby Products,2.9,Low
SELR000220,Grover Trading Co,Warangal,Telangana,2024-05-24,Toys & Baby Products,4.4,Medium
SELR000221,Halder Active Overseas,Jammu,Jammu And Kashmir,2024-06-11,Sports & Fitness,4.7,Medium
SELR000222,Raina Home Textiles,Patiala,Punjab,2022-10-14,Home & Kitchen,3.4,Medium
SELR000223,Pandey Nest Industries,Chennai,Tamil Nadu,2024-02-18,Home & Kitchen,3.9,Medium
SELR000224,Dubey Hub,Rourkela,Odisha,2023-09-19,Home & Kitchen,3.3,Low
SELR000225,Ganguly Retail,Bhopal,Madhya Pradesh,2024-01-07,Home & Kitchen,4.1,Medium
SELR000226,Rathore Distributors,Noida,Uttar Pradesh,2023-05-03,Home & Kitchen,3.1,Low
SELR000227,Volt Overseas,Bhopal,Madhya Pradesh,2023-02-24,Electronics,4.8,High
SELR000228,Gill Emporium,Ahmedabad,Gujarat,2025-06-29,Electronics,4.4,Medium
SELR000229,Bookish Emporium,Pune,Maharashtra,2024-04-06,Books,3.6,Medium
SELR000230,Nest Collection,Chennai,Tamil Nadu,2023-10-22,Home & Kitchen,5.0,High
SELR000231,Roy Global,Mumbai,Maharashtra,2022-10-02,Toys & Baby Products,3.8,High
SELR000232,Rawat Glow Ventures,Surat,Gujarat,2024-11-25,Beauty & Personal Care,3.9,Medium
SELR000233,Tech Enterprises,Ajmer,Rajasthan,2023-12-30,Electronics,3.2,Low
SELR000234,Dutta Global,Chandigarh,Chandigarh,2023-09-23,Fashion,4.0,Medium
SELR000235,Bose Vogue Wholesale,Kanpur,Uttar Pradesh,2024-08-08,Fashion,4.0,Low
SELR000236,Vaghela Playful Collection,Noida,Uttar Pradesh,2022-12-07,Toys & Baby Products,4.3,Low
SELR000237,Ghosh Impex,Lucknow,Uttar Pradesh,2024-03-08,Fashion,4.3,Medium
SELR000238,Home Point,Hyderabad,Telangana,2025-03-19,Home & Kitchen,3.0,Low
SELR000239,Thakur Collection,Jodhpur,Rajasthan,2023-12-20,Toys & Baby Products,4.5,High
SELR000240,Kiddo Marketing,Hyderabad,Telangana,2022-07-10,Toys & Baby Products,4.6,High
SELR000241,Fabric Hub,Varanasi,Uttar Pradesh,2023-03-29,Fashion,3.7,Low
SELR000242,Byte Retail,Bhubaneswar,Odisha,2022-09-11,Electronics,4.0,Low
SELR000243,Raina Wholesale,Patna,Bihar,2024-01-31,Fashion,4.0,Medium
SELR000244,Volt Mart,Jalandhar,Punjab,2023-08-29,Electronics,4.2,Medium
SELR000245,Style Textiles,Pune,Maharashtra,2022-12-07,Fashion,3.9,Medium
SELR000246,Mandal Global,Udaipur,Rajasthan,2024-08-31,Beauty & Personal Care,3.2,Low
SELR000247,Bose Collection,Amritsar,Punjab,2023-01-27,Toys & Baby Products,3.7,Medium
SELR000248,Bella Bazaar,Madurai,Tamil Nadu,2023-08-03,Beauty & Personal Care,4.3,Medium
SELR000249,Radiance Enterprises,Kochi,Kerala,2025-08-08,Beauty & Personal Care,3.8,Medium
SELR000250,Kaul Overseas,Gwalior,Madhya Pradesh,2022-09-23,Fashion,4.3,Medium
SELR000251,Parmar Stores,Dimapur,Nagaland,2023-04-18,Grocery,4.0,Medium
SELR000252,Shah Ventures,Noida,Uttar Pradesh,2023-07-07,Beauty & Personal Care,4.4,Low
SELR000253,Organic Textiles,Raipur,Chhattisgarh,2024-02-09,Grocery,3.6,Medium
SELR000254,Bhattacharya Tiny Trading Co,Rajkot,Gujarat,2023-04-15,Toys & Baby Products,3.5,Medium
SELR000255,Gaikwad Overseas,Jaipur,Rajasthan,2025-07-19,Fashion,3.8,Medium
SELR000256,Digital Creations,Cuttack,Odisha,2022-07-16,Electronics,3.2,Low
SELR000257,Jadhav Threads Creations,Gurugram,Haryana,2025-06-24,Fashion,2.6,Low
SELR000258,Dubey Emporium,Bhopal,Madhya Pradesh,2024-03-10,Home & Kitchen,5.0,High
SELR000259,Brar Little Hub,Mumbai,Maharashtra,2022-08-22,Toys & Baby Products,4.4,High
SELR000260,Deshmukh Kitchen Industries,Hyderabad,Telangana,2022-11-19,Home & Kitchen,3.8,Medium
SELR000261,Pal Scroll Industries,Jabalpur,Madhya Pradesh,2022-11-04,Books,4.2,High
SELR000262,Chopra Collection,Gurugram,Haryana,2023-06-02,Beauty & Personal Care,2.6,Low
SELR000263,Das Creations,Gurugram,Haryana,2023-07-24,Fashion,4.6,Medium
SELR000264,Weave Point,Chennai,Tamil Nadu,2024-07-09,Fashion,4.2,High
SELR000265,Kaul Overseas,Surat,Gujarat,2023-06-29,Sports & Fitness,3.4,Low
SELR000266,Chandel Junction,Ranchi,Jharkhand,2024-10-13,Sports & Fitness,4.3,Medium
SELR000267,Nest Enterprises,Prayagraj,Uttar Pradesh,2023-06-09,Home & Kitchen,3.9,Medium
SELR000268,Weave Hub,Mumbai,Maharashtra,2023-05-06,Fashion,4.7,Medium
SELR000269,Power Trading Co,Patna,Bihar,2023-05-19,Sports & Fitness,4.3,High
SELR000270,Pal Threads Distributors,Lucknow,Uttar Pradesh,2023-07-20,Fashion,4.9,High
SELR000271,Shetty Mart,Ghaziabad,Uttar Pradesh,2025-02-19,Toys & Baby Products,4.2,High
SELR000272,Chopra Style Trading Co,Jaipur,Rajasthan,2023-04-17,Fashion,3.8,Medium
SELR000273,Pandey Collection,Gurugram,Haryana,2023-05-17,Electronics,4.2,High
SELR000274,Home Retail,Lucknow,Uttar Pradesh,2025-07-04,Home & Kitchen,4.3,Medium
SELR000275,Sethi Nest Trading Co,Patna,Bihar,2024-07-24,Home & Kitchen,4.2,Medium
SELR000276,Hegde Kitchen Overseas,Surat,Gujarat,2023-02-12,Home & Kitchen,3.5,Medium
SELR000277,Nest Ventures,Lucknow,Uttar Pradesh,2025-03-25,Home & Kitchen,3.6,Medium
