order_id,customer_id,order_date,order_status,cancellation_reason,shipped_date,delivery_date,expected_delivery_date,delivery_city,delivery_state,order_total,delivery_days,delivery_delay,customer_segment
ORDR000085,CUST007303,2024-01-01,Delivered,,2024-01-02,2024-01-09,2024-01-08,Jabalpur,Madhya Pradesh,51434.58,7.0,1.0,New
ORDR000086,CUST001705,2024-01-01,Delivered,,2024-01-02,2024-01-10,2024-01-07,Ludhiana,Punjab,2502.86,8.0,3.0,New
ORDR000087,CUST002274,2024-01-01,Delivered,,2024-01-03,2024-01-06,2024-01-05,Ludhiana,Punjab,3906.04,3.0,1.0,New
ORDR000088,CUST014453,2024-01-01,Delivered,,2024-01-01,2024-01-05,2024-01-05,Chandigarh,Chandigarh,9761.01,4.0,0.0,Repeat
ORDR000089,CUST029471,2024-01-01,Delivered,,2024-01-01,2024-01-06,2024-01-06,Shillong,Meghalaya,510.4,5.0,0.0,New
ORDR000090,CUST037475,2024-01-01,Cancelled,Address Issue,,,,Kolkata,West Bengal,2406.73,,,New
ORDR000091,CUST008094,2024-01-01,Delivered,,2024-01-01,2024-01-06,2024-01-05,Chennai,Tamil Nadu,5552.47,5.0,1.0,New
ORDR000092,CUST035779,2024-01-01,Returned,,2024-01-03,2024-01-07,2024-01-06,Aurangabad,Maharashtra,11647.35,4.0,1.0,Repeat
ORDR000093,CUST027415,2024-01-01,Delivered,,2024-01-01,2024-01-05,2024-01-06,Mangaluru,Karnataka,3703.04,4.0,-1.0,Repeat
ORDR000094,CUST009005,2024-01-01,Delivered,,2024-01-02,2024-01-09,2024-01-06,Ludhiana,Punjab,51622.04,7.0,3.0,Repeat
ORDR000095,CUST034399,2024-01-01,Delivered,,2024-01-03,2024-01-09,2024-01-06,Bengaluru,Karnataka,25636.32,6.0,3.0,New
ORDR000096,CUST034628,2024-01-02,Delivered,,2024-01-02,2024-01-06,2024-01-07,Delhi,Delhi,12806.89,4.0,-1.0,New
ORDR000097,CUST001245,2024-01-02,Delivered,,2024-01-02,2024-01-08,2024-01-08,Cuttack,Odisha,3163.03,6.0,0.0,New
ORDR000098,CUST017414,2024-01-02,Delivered,,2024-01-02,2024-01-08,2024-01-08,Lucknow,Uttar Pradesh,763.86,6.0,0.0,Repeat
ORDR000099,CUST035507,2024-01-02,Delivered,,2024-01-04,2024-01-08,2024-01-07,Meerut,Uttar Pradesh,2631.71,4.0,1.0,Repeat
ORDR000100,CUST004235,2024-01-02,Cancelled,Payment Issue,,,,Delhi,Delhi,69989.02,,,Repeat
ORDR000101,CUST030400,2024-01-02,Cancelled,Customer Changed Mind,,,,Thiruvananthapuram,Kerala,75.36,,,Repeat
ORDR000102,CUST003908,2024-01-02,Delivered,,2024-01-04,2024-01-08,2024-01-07,Vadodara,Gujarat,224991.1,4.0,1.0,VIP
ORDR000103,CUST002806,2024-01-02,Delivered,,2024-01-04,2024-01-16,2024-01-08,Jaipur,Rajasthan,2612.03,12.0,8.0,Repeat
ORDR000104,CUST023003,2024-01-02,Delivered,,2024-01-03,2024-01-08,2024-01-08,Vadodara,Gujarat,445.53,5.0,0.0,Repeat
ORDR000105,CUST010384,2024-01-02,Delivered,,2024-01-02,2024-01-09,2024-01-10,Kota,Rajasthan,17737.96,7.0,-1.0,New
ORDR000106,CUST018106,2024-01-02,Delivered,,2024-01-04,2024-01-13,2024-01-07,Bhubaneswar,Odisha,1338.37,9.0,6.0,Repeat
ORDR000107,CUST036915,2024-01-02,Delivered,,2024-01-04,2024-01-10,2024-01-08,Jaipur,Rajasthan,330.36,6.0,2.0,New
ORDR000108,CUST029060,2024-01-02,Delivered,,2024-01-03,2024-01-06,2024-01-06,Chennai,Tamil Nadu,6947.6,3.0,0.0,VIP
ORDR000109,CUST030554,2024-01-02,Delivered,,2024-01-04,2024-01-08,2024-01-06,Kolkata,West Bengal,1012.62,4.0,2.0,Repeat
ORDR000110,CUST033275,2024-01-02,Delivered,,2024-01-04,2024-01-08,2024-01-07,Lucknow,Uttar Pradesh,3030.79,4.0,1.0,Repeat
ORDR000111,CUST019761,2024-01-02,Delivered,,2024-01-02,2024-01-06,2024-01-07,Solapur,Maharashtra,8486.15,4.0,-1.0,Repeat
ORDR000112,CUST030159,2024-01-02,Delivered,,2024-01-02,2024-01-07,2024-01-07,Ahmedabad,Gujarat,24117.68,5.0,0.0,Repeat
ORDR000113,CUST013577,2024-01-02,Delivered,,2024-01-03,2024-01-07,2024-01-05,Gurugram,Haryana,53619.45,4.0,2.0,Repeat
ORDR000114,CUST031952,2024-01-02,Returned,,2024-01-03,2024-01-08,2024-01-08,Jaipur,Rajasthan,10749.67,5.0,0.0,Repeat
ORDR000115,CUST021512,2024-01-02,Delivered,,2024-01-03,2024-01-08,2024-01-08,Ludhiana,Punjab,9227.93,5.0,0.0,Repeat
ORDR000116,CUST004415,2024-01-02,Cancelled,Payment Issue,,,,Delhi,Delhi,4637.66,,,Repeat
ORDR000117,CUST007594,2024-01-02,Delivered,,2024-01-03,2024-01-08,2024-01-05,Bengaluru,Karnataka,1232.69,5.0,3.0,Repeat
ORDR000118,CUST039224,2024-01-02,Delivered,,2024-01-04,2024-01-15,2024-01-08,Kozhikode,Kerala,1915.89,11.0,7.0,Repeat
ORDR000119,CUST011233,2024-01-02,Delivered,,2024-01-04,2024-01-08,2024-01-06,Mumbai,Maharashtra,9188.96,4.0,2.0,New
ORDR000120,CUST017766,2024-01-02,Delivered,,2024-01-04,2024-01-10,2024-01-07,Madurai,Tamil Nadu,10503.6,6.0,3.0,Repeat
ORDR000121,CUST021981,2024-01-02,Delivered,,2024-01-04,2024-01-08,2024-01-05,Noida,Uttar Pradesh,1104.36,4.0,3.0,Repeat
ORDR000122,CUST005813,2024-01-02,Shipped,,2024-01-04,,2024-01-07,Vadodara,Gujarat,1458.62,,,VIP
ORDR000123,CUST004136,2024-01-02,Delivered,,2024-01-03,2024-01-07,2024-01-05,Bengaluru,Karnataka,11848.65,4.0,2.0,New
ORDR000124,CUST017182,2024-01-02,Shipped,,2024-01-03,,2024-01-07,Hyderabad,Telangana,72963.84,,,VIP
ORDR000125,CUST018023,2024-01-02,Delivered,,2024-01-02,2024-01-06,2024-01-06,Lucknow,Uttar Pradesh,65888.96,4.0,0.0,Repeat
ORDR000126,CUST023524,2024-01-02,Delivered,,2024-01-02,2024-01-07,2024-01-07,Surat,Gujarat,11496.57,5.0,0.0,Repeat
ORDR000127,CUST001229,2024-01-02,Cancelled,Customer Changed Mind,,,,Panaji,Goa,2957.13,,,Repeat
ORDR000128,CUST012814,2024-01-02,Delivered,,2024-01-02,2024-01-09,2024-01-08,Kozhikode,Kerala,856.63,7.0,1.0,Repeat
ORDR000129,CUST033053,2024-01-02,Delivered,,2024-01-02,2024-01-07,2024-01-07,Surat,Gujarat,19612.87,5.0,0.0,Repeat
ORDR000130,CUST025044,2024-01-02,Delivered,,2024-01-03,2024-01-09,2024-01-07,Rajkot,Gujarat,26421.37,6.0,2.0,Repeat
ORDR000131,CUST019491,2024-01-02,Cancelled,Customer Changed Mind,,,,Ludhiana,Punjab,7345.68,,,New
ORDR000132,CUST010499,2024-01-02,Pending,,,,2024-01-07,Ghaziabad,Uttar Pradesh,23461.47,,,Repeat
ORDR000133,CUST007448,2024-01-02,Delivered,,2024-01-02,2024-01-08,2024-01-06,Bengaluru,Karnataka,1775.57,6.0,2.0,Repeat
ORDR000134,CUST028878,2024-01-02,Delivered,,2024-01-04,2024-01-06,2024-01-05,Kolkata,West Bengal,2502.56,2.0,1.0,VIP
ORDR000135,CUST001097,2024-01-02,Delivered,,2024-01-03,2024-01-12,2024-01-09,Bareilly,Uttar Pradesh,9357.53,9.0,3.0,New
ORDR000136,CUST001338,2024-01-02,Returned,,2024-01-02,2024-01-08,2024-01-08,Nashik,Maharashtra,2131.04,6.0,0.0,New
ORDR000137,CUST018500,2024-01-02,Cancelled,Delayed Processing,,,,Delhi,Delhi,1674.04,,,New
ORDR000138,CUST014247,2024-01-02,Delivered,,2024-01-03,2024-01-09,2024-01-07,Kozhikode,Kerala,16119.21,6.0,2.0,VIP
ORDR000139,CUST036081,2024-01-02,Pending,,,,2024-01-07,Mangaluru,Karnataka,2300.23,,,Repeat
ORDR000140,CUST015721,2024-01-02,Delivered,,2024-01-03,2024-01-06,2024-01-05,Hyderabad,Telangana,2355.41,3.0,1.0,Repeat
ORDR000141,CUST011328,2024-01-02,Delivered,,2024-01-03,2024-01-05,2024-01-07,Chennai,Tamil Nadu,10677.01,2.0,-2.0,Repeat
ORDR000142,CUST023766,2024-01-02,Pending,,,,2024-01-05,Delhi,Delhi,5615.82,,,Repeat
ORDR000143,CUST008863,2024-01-02,Delivered,,2024-01-04,2024-01-05,2024-01-06,Ghaziabad,Uttar Pradesh,408.53,1.0,-1.0,Repeat
ORDR000144,CUST009730,2024-01-02,Delivered,,2024-01-03,2024-01-07,2024-01-06,Nashik,Maharashtra,3376.08,4.0,1.0,New
ORDR000145,CUST034929,2024-01-02,Pending,,,,2024-01-06,Patna,Bihar,23346.54,,,Repeat
ORDR000146,CUST029663,2024-01-02,Delivered,,2024-01-03,2024-01-07,2024-01-06,Indore,Madhya Pradesh,149.98,4.0,1.0,New
ORDR000147,CUST014380,2024-01-02,Delivered,,2024-01-04,2024-01-05,2024-01-06,Bengaluru,Karnataka,7908.14,1.0,-1.0,VIP
ORDR000148,CUST005431,2024-01-02,Delivered,,2024-01-03,2024-01-06,2024-01-07,Imphal,Manipur,73422.48,3.0,-1.0,Repeat
ORDR000149,CUST003596,2024-01-02,Returned,,2024-01-04,2024-01-07,2024-01-05,Gurugram,Haryana,877.59,3.0,2.0,Repeat
ORDR000150,CUST006593,2024-01-02,Delivered,,2024-01-03,2024-01-07,2024-01-06,Ahmedabad,Gujarat,286.4,4.0,1.0,Repeat
ORDR000151,CUST026416,2024-01-02,Delivered,,2024-01-02,2024-01-06,2024-01-07,Vadodara,Gujarat,10559.24,4.0,-1.0,Repeat
ORDR000152,CUST033109,2024-01-02,Pending,,,,2024-01-05,Kolkata,West Bengal,180.16,,,Repeat
ORDR000153,CUST009101,2024-01-02,Delivered,,2024-01-04,2024-01-08,2024-01-05,Hyderabad,Telangana,15483.25,4.0,3.0,New
ORDR000154,CUST006468,2024-01-02,Cancelled,Payment Issue,,,,Nagpur,Maharashtra,26510.83,,,Repeat
ORDR000155,CUST015186,2024-01-02,Pending,,,,2024-01-08,Mysuru,Karnataka,6781.51,,,New
ORDR000156,CUST003165,2024-01-02,Delivered,,2024-01-02,2024-01-06,2024-01-06,Gurugram,Haryana,2955.96,4.0,0.0,VIP
ORDR000157,CUST005551,2024-01-02,Delivered,,2024-01-04,2024-01-07,2024-01-06,Chennai,Tamil Nadu,847.55,3.0,1.0,New
ORDR000158,CUST005555,2024-01-02,Cancelled,Product Unavailable,,,,Bengaluru,Karnataka,64238.19,,,Repeat
ORDR000159,CUST019043,2024-01-02,Delivered,,2024-01-04,2024-01-07,2024-01-07,Ahmedabad,Gujarat,171.51,3.0,0.0,Repeat
ORDR000160,CUST035383,2024-01-02,Delivered,,2024-01-03,2024-01-07,2024-01-07,Noida,Uttar Pradesh,672.15,4.0,0.0,Repeat
ORDR000161,CUST003231,2024-01-02,Cancelled,Customer Changed Mind,,,,Bengaluru,Karnataka,9026.52,,,Repeat
ORDR000162,CUST038408,2024-01-02,Delivered,,2024-01-03,2024-01-09,2024-01-07,Lucknow,Uttar Pradesh,9753.18,6.0,2.0,Repeat
ORDR000163,CUST032209,2024-01-02,Delivered,,2024-01-03,2024-01-09,2024-01-08,Vijayawada,Andhra Pradesh,20705.47,6.0,1.0,New
ORDR000164,CUST003011,2024-01-02,Delivered,,2024-01-04,2024-01-08,2024-01-07,Ahmedabad,Gujarat,1113.3,4.0,1.0,Repeat
ORDR000165,CUST034289,2024-01-02,Delivered,,2024-01-02,2024-01-04,2024-01-06,Kanpur,Uttar Pradesh,4165.94,2.0,-2.0,Repeat
ORDR000166,CUST023081,2024-01-02,Delivered,,2024-01-03,2024-01-08,2024-01-08,Bhopal,Madhya Pradesh,66969.11,5.0,0.0,Repeat
ORDR000167,CUST032058,2024-01-02,Delivered,,2024-01-03,2024-01-06,2024-01-08,Jalandhar,Punjab,1958.0,3.0,-2.0,New
ORDR000168,CUST038161,2024-01-02,Delivered,,2024-01-04,2024-01-09,2024-01-07,Hyderabad,Telangana,706.84,5.0,2.0,Repeat
ORDR000169,CUST039898,2024-01-02,Cancelled,Customer Changed Mind,,,,Hyderabad,Telangana,192298.96,,,VIP
ORDR000170,CUST007247,2024-01-02,Cancelled,Customer Changed Mind,,,,Vijayawada,Andhra Pradesh,12148.76,,,Repeat
ORDR000171,CUST018428,2024-01-02,Delivered,,2024-01-02,2024-01-09,2024-01-08,Jaipur,Rajasthan,2729.88,7.0,1.0,Repeat
ORDR000172,CUST018432,2024-01-02,Delivered,,2024-01-02,2024-01-12,2024-01-05,Ahmedabad,Gujarat,951.53,10.0,7.0,Repeat
ORDR000173,CUST039472,2024-01-02,Delivered,,2024-01-02,2024-01-10,2024-01-09,Hubballi,Karnataka,3861.61,8.0,1.0,New
ORDR000174,CUST001422,2024-01-02,Delivered,,2024-01-02,2024-01-03,2024-01-05,Mumbai,Maharashtra,64530.72,1.0,-2.0,Repeat
ORDR000175,CUST000699,2024-01-02,Delivered,,2024-01-02,2024-01-10,2024-01-08,Dehradun,Uttarakhand,36297.96,8.0,2.0,VIP
ORDR000176,CUST031209,2024-01-02,Delivered,,2024-01-04,2024-01-10,2024-01-08,Dehradun,Uttarakhand,59602.76,6.0,2.0,Repeat
ORDR000177,CUST028931,2024-01-02,Delivered,,2024-01-03,2024-01-07,2024-01-06,Kolkata,West Bengal,11632.84,4.0,1.0,Repeat
ORDR000178,CUST009900,2024-01-02,Delivered,,2024-01-04,2024-01-11,2024-01-07,Surat,Gujarat,1584.53,7.0,4.0,VIP
ORDR000179,CUST003644,2024-01-02,Delivered,,2024-01-03,2024-01-10,2024-01-07,Bhubaneswar,Odisha,4800.93,7.0,3.0,Repeat
ORDR000180,CUST001344,2024-01-02,Delivered,,2024-01-02,2024-01-05,2024-01-06,Pune,Maharashtra,1176.67,3.0,-1.0,New
ORDR000181,CUST018466,2024-01-02,Delivered,,2024-01-04,2024-01-08,2024-01-07,Kolkata,West Bengal,8926.05,4.0,1.0,Repeat
ORDR000182,CUST035776,2024-01-02,Delivered,,2024-01-03,2024-01-09,2024-01-08,Nashik,Maharashtra,700.22,6.0,1.0,New
ORDR000183,CUST000736,2024-01-02,Delivered,,2024-01-02,2024-01-06,2024-01-07,Noida,Uttar Pradesh,933.31,4.0,-1.0,New
ORDR000184,CUST027881,2024-01-02,Delivered,,2024-01-03,2024-01-10,2024-01-08,Indore,Madhya Pradesh,2028.09,7.0,2.0,Repeat
ORDR000185,CUST013937,2024-01-03,Delivered,,2024-01-03,2024-01-05,2024-01-06,Hyderabad,Telangana,1190.75,2.0,-1.0,Repeat
ORDR000186,CUST011173,2024-01-03,Delivered,,2024-01-03,2024-01-07,2024-01-08,Raipur,Chhattisgarh,1714.43,4.0,-1.0,Repeat
ORDR000187,CUST009418,2024-01-03,Cancelled,Product Unavailable,,,,Mumbai,Maharashtra,35735.66,,,New
