product_id,product_name,category,sub_category,seller_id,cost_price,selling_price,launch_date
PROD000036,Everyday Fragrance 485,Beauty & Personal Care,Fragrances,SELR000373,1577.94,2252.42,2025-06-13
PROD000037,Superior Staples 959,Grocery,Staples,SELR000996,1099.92,1260.49,2023-06-03
PROD000038,Essential Makeup 539,Beauty & Personal Care,Makeup,SELR000546,1466.46,2034.75,2023-08-05
PROD000039,Trendy Home Decor 437,Home & Kitchen,Home Decor,SELR000200,610.3,872.6,2023-11-30
PROD000040,Basic Smartphones 223,Electronics,Smartphones,SELR001016,14522.41,18352.05,2024-02-07
PROD000041,Trendy Sportswear 800,Sports & Fitness,Sportswear,SELR001100,2506.56,3292.67,2023-09-03
PROD000042,Everyday Headphones 658,Electronics,Headphones,SELR001112,1446.83,1695.09,2023-05-17
PROD000043,Advanced Smartphone 837,Electronics,Smartphones,SELR000637,11074.18,14036.94,2023-06-30
PROD000044,Everyday Cookware 843,Home & Kitchen,Cookware,SELR000304,8948.61,11973.44,2024-08-09
PROD000045,Essential Haircare 153,Beauty & Personal Care,Haircare,SELR000322,507.51,639.46,2025-10-14
PROD000046,Compact Diapers 882,Toys & Baby Products,Diapers,SELR000476,513.94,742.81,2024-11-11
PROD000047,Basic Fitness Equipment 836,Sports & Fitness,Fitness Equipment,SELR000648,4156.09,5532.54,2023-11-18
PROD000048,Elite Dairy 117,Grocery,Dairy,SELR001076,875.27,930.21,2023-12-22
PROD000049,Compact Bags 573,Fashion,Bags,SELR000206,3981.25,6150.57,2023-06-20
PROD000050,Superior Storage 589,Home & Kitchen,Storage,SELR001045,316.81,437.91,2024-01-15
PROD000051,Classic Baby Care 423,Toys & Baby Products,Baby Care,SELR000207,200.76,273.02,2024-10-04
PROD000052,Everyday Bedding 523,Home & Kitchen,Bedding,SELR000410,1028.35,1304.75,2023-06-27
PROD000053,Everyday Dairy 172,Grocery,Dairy,SELR000570,350.12,389.36,2023-04-03
PROD000054,Pro Makeup 546,Beauty & Personal Care,Makeup,SELR000714,147.7,221.06,2023-02-16
PROD000055,Pro Men's Clothing 125,Fashion,Men's Clothing,SELR000067,539.51,818.09,2023-01-21
PROD000056,Essential Grooming Tools 679,Beauty & Personal Care,Grooming Tools,SELR000546,853.16,1080.83,2023-02-23
PROD000057,Basic Footwear 272,Fashion,Footwear,SELR000468,4465.23,6504.42,2022-12-28
PROD000058,Signature Accessories 115,Electronics,Accessories,SELR001066,1973.72,2326.25,2023-04-08
PROD000059,Advanced Footwear 600,Fashion,Footwear,SELR001198,1428.72,1858.86,2024-02-26
PROD000060,Compact Bags 681,Fashion,Bags,SELR000696,595.24,885.54,2023-03-09
PROD000061,Everyday Home Decor 663,Home & Kitchen,Home Decor,SELR001138,5152.36,6657.16,2023-05-22
PROD000062,Elite Diapers 471,Toys & Baby Products,Diapers,SELR000435,618.3,776.15,2025-08-02
PROD000063,Ultra Kitchen Appliances 327,Home & Kitchen,Kitchen Appliances,SELR000791,995.84,1372.36,2023-07-24
PROD000064,Ultra Dairy 284,Grocery,Dairy,SELR000374,112.23,122.73,2023-07-18
PROD000065,Basic Fragrances 924,Beauty & Personal Care,Fragrances,SELR000665,313.73,449.82,2023-08-21
PROD000066,Basic Cameras 310,Electronics,Cameras,SELR000736,9422.17,11054.49,2023-01-06
PROD000067,Pro Footwear 181,Fashion,,SELR000910,1554.78,2371.01,2023-04-23
PROD000068,Elite Baby Feeding 490,Toys & Baby Products,Baby Feeding,SELR000315,157.06,201.78,2024-01-19
PROD000069,Comfort Personal Hygiene 878,Beauty & Personal Care,Personal Hygiene,SELR001072,263.44,394.83,2024-07-21
PROD000070,Classic Diapers 790,Toys & Baby Products,Diapers,SELR000778,394.05,504.11,2022-11-28
PROD000071,Premium Footwear 523,Fashion,Footwear,SELR000076,1183.07,1764.65,2023-09-12
PROD000072,Basic Cycling 501,Sports & Fitness,Cycling,SELR000024,5534.31,7177.9,2024-06-23
PROD000073,Smart Non-Fiction 110,Books,Non-Fiction,SELR000525,199.66,245.48,2023-07-31
PROD000074,Premium Baby Gear 639,Toys & Baby Products,Baby Gear,SELR001025,1928.3,2792.47,2022-11-30
PROD000075,Compact Headphone 618,Electronics,Headphones,SELR001184,12131.98,14416.82,2023-11-09
PROD000076,Signature Educational Toy 223,Toys & Baby Products,Educational Toys,SELR000386,239.19,346.04,2024-02-23
PROD000077,Trendy Cookware 327,Home & Kitchen,Cookware,SELR000200,4956.1,6234.55,2023-01-22
PROD000078,Trendy Packaged Food 103,Grocery,Packaged Food,SELR001013,181.18,204.23,2025-06-26
PROD000079,Advanced Fragrances 475,Beauty & Personal Care,Fragrances,SELR001040,241.19,354.49,2023-02-24
PROD000080,Everyday Grooming Tool 492,Beauty & Personal Care,Grooming Tools,SELR000761,973.45,1285.08,2023-02-25
PROD000081,Elite Watches & Jewellery 570,Fashion,Watches & Jewellery,SELR000931,4368.72,7129.9,2025-10-16
PROD000082,Comfort Personal Care Essential 831,Grocery,Personal Care Essentials,SELR000058,84.77,94.35,2023-01-20
PROD000083,Superior Kids Wear 381,Fashion,Kids Wear,SELR000243,3320.04,4788.17,2023-01-23
PROD000084,Classic Bedding 588,Home & Kitchen,Bedding,SELR001130,14960.17,18940.98,2025-04-07
PROD000085,Superior Grooming Tools 310,Beauty & Personal Care,Grooming Tools,SELR001091,1234.02,1764.46,2023-04-18
PROD000086,Compact Children's Books 506,Books,Children's Books,SELR000953,234.82,293.34,2024-12-15
PROD000087,Essential Bedding 835,Home & Kitchen,Bedding,SELR001158,331.26,421.73,2023-05-27
PROD000088,Everyday Yoga Accessories 863,Sports & Fitness,Yoga Accessories,SELR001180,582.98,716.7,2023-08-06
PROD000089,Essential Kitchen Appliances 502,Home & Kitchen,Kitchen Appliances,SELR000276,344.75,448.59,2025-10-13
PROD000090,Signature Cycling 552,Sports & Fitness,Cycling,SELR000728,488.83,602.83,2023-05-08
PROD000091,Smart Cycling 992,Sports & Fitness,Cycling,SELR000519,380.85,535.69,2025-05-27
PROD000092,Superior Sportswear 785,Sports & Fitness,Sportswear,SELR000588,294.97,407.42,2025-09-19
PROD000093,Pro Snack 337,Grocery,Snacks,SELR000466,37.05,39.45,2023-04-15
PROD000094,Superior Fragrances 242,Beauty & Personal Care,Fragrances,SELR000738,498.21,679.83,2025-06-02
PROD000095,Smart Kids Wear 375,Fashion,Kids Wear,SELR000039,1210.61,1871.51,2024-06-22
PROD000096,Essential Cycling 707,Sports & Fitness,Cycling,SELR001165,711.08,887.86,2025-08-14
PROD000097,Basic Laptops 585,Electronics,Laptops,SELR000752,29729.52,33587.08,2023-07-23
PROD000098,Elite Kids Wear 774,Fashion,Kids Wear,SELR000923,2513.13,3783.53,2023-06-10
PROD000099,Essential Children's Books 157,Books,Children's Books,SELR000947,203.79,239.77,2023-07-26
PROD000100,Deluxe Furniture 567,Home & Kitchen,Furniture,SELR000336,1368.22,1855.24,2023-10-28
PROD000101,Trendy Bedding 822,Home & Kitchen,Bedding,SELR000970,16559.45,21414.72,2024-07-18
PROD000102,Basic Diapers 741,Toys & Baby Products,Diapers,SELR000786,4077.95,5102.68,2025-10-17
PROD000103,Compact Kids Wear 826,Fashion,Kids Wear,SELR000691,346.52,515.02,2023-10-04
PROD000104,Superior Headphone 491,Electronics,Headphones,SELR000902,58613.27,69590.1,2023-01-29
PROD000105,Compact Smartphones 882,Electronics,Smartphones,SELR000919,26964.13,31954.07,2024-05-04
PROD000106,Everyday Footwear 826,Fashion,Footwear,SELR000329,2916.92,4621.73,2023-08-21
PROD000107,Superior Outdoor Gear 452,Sports & Fitness,Outdoor Gear,SELR000731,3320.35,4495.27,2023-08-22
PROD000108,Elite Comics 629,Books,Comics,SELR000359,360.63,466.02,2023-11-03
PROD000109,Smart Skincare 468,Beauty & Personal Care,Skincare,SELR000298,721.71,975.14,2023-07-02
PROD000110,Ultra Bags 232,Fashion,Bags,SELR000882,3201.57,4901.64,2024-10-24
PROD000111,Comfort Makeup 351,Beauty & Personal Care,Makeup,SELR000988,723.56,1052.53,2022-12-17
PROD000112,Ultra Laptops 371,Electronics,Laptops,SELR001124,3710.0,4362.05,2023-11-25
PROD000113,Basic Cycling 488,Sports & Fitness,Cycling,SELR000092,445.48,629.8,2024-08-07
PROD000114,Essential Haircare 617,Beauty & Personal Care,Haircare,SELR001139,1022.44,1530.88,2025-05-23
PROD000115,Ultra Laptops 713,Electronics,Laptops,SELR000469,3230.35,4132.2,2024-05-21
PROD000116,Comfort Staples 480,Grocery,Staples,SELR000404,121.34,133.77,2025-07-08
PROD000117,Ultra Academic 226,Books,Academic,SELR000261,1087.75,1346.53,2024-01-03
PROD000118,Comfort Men's Clothing 568,Fashion,Men's Clothing,SELR000896,3712.48,5635.92,2024-06-28
PROD000119,Smart Haircare 888,Beauty & Personal Care,Haircare,SELR000524,265.3,362.72,2023-05-27
PROD000120,Advanced Fragrances 513,Beauty & Personal Care,Fragrances,SELR000898,1904.97,2660.94,2024-01-16
PROD000121,Essential Footwear 240,Fashion,Footwear,SELR000888,1940.45,2635.69,2024-01-07
PROD000122,Classic Watches & Jewellery 762,Fashion,Watches & Jewellery,SELR000635,793.89,1265.3,2023-10-19
PROD000123,Premium Fitness Equipment 736,Sports & Fitness,Fitness Equipment,SELR000588,9425.16,12074.34,2024-01-25
PROD000124,Trendy Baby Feeding 712,Toys & Baby Products,Baby Feeding,SELR000363,274.73,331.28,2024-05-31
PROD000125,Pro Fragrance 695,Beauty & Personal Care,Fragrances,SELR000664,180.82,271.36,2022-12-08
PROD000126,Everyday Makeup 767,Beauty & Personal Care,Makeup,SELR000362,520.24,695.81,2023-08-08
PROD000127,Smart Yoga Accessories 549,Sports & Fitness,Yoga Accessories,SELR000883,4789.29,6697.16,2025-02-06
PROD000128,Superior Cookware 145,Home & Kitchen,Cookware,SELR000111,1321.59,1886.33,2025-05-21
PROD000129,Essential Headphones 269,Electronics,Headphones,SELR000176,6131.3,7032.74,2024-12-07
PROD000130,Compact Furniture 383,Home & Kitchen,Furniture,SELR001113,11940.52,14987.49,2023-08-11
PROD000131,Classic Educational Toy 454,Toys & Baby Products,Educational Toys,SELR000050,4929.38,6671.0,2023-10-29
PROD000132,Pro Beverages 668,Grocery,Beverages,SELR000305,1077.13,1164.88,2023-11-20
PROD000133,Premium Baby Gear 928,Toys & Baby Products,Baby Gear,SELR000630,587.03,832.59,2025-10-19
PROD000134,Smart Men's Clothing 605,Fashion,Men's Clothing,SELR001085,2810.15,4510.71,2025-09-25
PROD000135,Trendy Cookware 347,Home & Kitchen,Cookware,SELR001033,945.85,1288.29,2023-06-18
PROD000136,Smart Haircare 163,Beauty & Personal Care,Haircare,SELR000197,420.55,566.16,2023-06-14
PROD000137,Advanced Kids Wear 339,Fashion,Kids Wear,SELR000849,1124.2,1742.81,2023-02-18
PROD000138,Pro Kids Wear 655,Fashion,Kids Wear,SELR000635,1118.98,1544.94,2024-02-25
PROD000139,Pro Fiction 975,Books,Fiction,SELR000483,742.32,962.05,2023-05-27
PROD000140,Everyday Fitness Equipment 171,Sports & Fitness,Fitness Equipment,SELR000024,883.66,1248.0,2023-02-13
PROD000141,Advanced Team Sports 449,Sports & Fitness,Team Sports,SELR000359,6872.4,8694.49,2023-12-21
PROD000142,Ultra Footwear 616,Fashion,Footwear,SELR000522,1919.96,3126.55,2024-02-10
PROD000143,Elite Furniture 685,Home & Kitchen,Furniture,SELR000795,6204.36,7612.16,2023-03-05
PROD000144,Pro Tablet 516,Electronics,Tablets,SELR000736,11418.65,14160.52,2023-08-25
PROD000145,Comfort Headphones 533,Electronics,Headphones,SELR000340,12123.32,13398.37,2024-01-17
PROD000146,Ultra Storage 737,Home & Kitchen,Storage,SELR001011,490.68,689.1,2023-09-27
PROD000147,Essential Bags 254,Fashion,Bags,SELR000879,1024.66,1675.62,2023-06-15
PROD000148,Trendy Baby Feeding 962,Toys & Baby Products,Baby Feeding,SELR001159,642.77,903.37,2023-08-17
PROD000149,Smart Furniture 578,Home & Kitchen,Furniture,SELR000963,346.92,490.35,2025-09-26
PROD000150,Smart Smart Watches 313,Electronics,Smart Watches,SELR000805,34973.45,40750.14,2024-02-22
PROD000151,Ultra Cameras 319,Electronics,Cameras,SELR000726,3119.53,3942.41,2025-03-14
PROD000152,Trendy Team Sports 198,Sports & Fitness,Team Sports,SELR001100,4829.55,6517.42,2022-12-17
PROD000153,Essential Bags 262,Fashion,,SELR000945,882.41,1428.83,2023-05-01
PROD000154,Advanced Women's Clothing 968,Fashion,Women's Clothing,SELR001089,2167.24,3133.6,2023-06-03
PROD000155,Superior Bedding 620,Home & Kitchen,Bedding,SELR000487,2292.79,2849.11,2024-02-27
PROD000156,Classic Watches & Jewellery 337,Fashion,Watches & Jewellery,SELR001005,2604.03,4152.37,2024-01-03
PROD000157,Pro Skincare 100,Beauty & Personal Care,Skincare,SELR001139,377.01,506.28,2023-04-15
PROD000158,Compact Furniture 106,Home & Kitchen,Furniture,SELR000998,842.62,1061.61,2023-02-11
PROD000159,Ultra Accessories 346,Electronics,Accessories,SELR000109,51664.49,63889.65,2025-09-13
PROD000160,Superior Academic 535,Books,Academic,SELR000932,291.91,332.73,2023-08-16
PROD000161,Pro Cookware 928,Home & Kitchen,Cookware,SELR000926,530.96,734.45,2023-06-19
PROD000162,Essential Grooming Tools 786,Beauty & Personal Care,Grooming Tools,SELR000680,230.72,312.47,2023-07-25
PROD000163,Basic Headphones 560,Electronics,Headphones,SELR000215,53803.23,64812.22,2023-04-01
PROD000164,Elite Makeup 608,Beauty & Personal Care,Makeup,SELR000988,1618.83,2073.99,2023-12-03
PROD000165,Premium Men's Clothing 434,Fashion,Men's Clothing,SELR000098,649.63,1048.15,2023-07-22
PROD000166,Trendy Furniture 289,Home & Kitchen,Furniture,SELR000721,8284.14,11485.07,2024-01-23
PROD000167,Advanced Bags 852,Fashion,Bags,SELR001095,1365.5,1903.69,2023-03-17
PROD000168,Elite Toys 392,Toys & Baby Products,Toys,SELR000438,1168.71,1417.28,2023-03-26
PROD000169,Essential Women's Clothing 302,Fashion,Women's Clothing,SELR000979,448.62,664.58,2025-01-29
PROD000170,Essential Toys 605,Toys & Baby Products,Toys,SELR000803,151.04,190.02,2023-10-11
PROD000171,Signature Baby Care 887,Toys & Baby Products,Baby Care,SELR001019,255.83,329.09,2023-04-11
PROD000172,Basic Bedding 574,Home & Kitchen,Bedding,SELR000366,10078.67,14492.18,2023-08-05
PROD000173,Signature Bags 470,Fashion,Bags,SELR000718,402.84,556.27,2023-07-20
PROD000174,Pro Home Decor 913,Home & Kitchen,Home Decor,SELR001044,9616.06,12113.5,2023-09-27
PROD000175,Compact Baby Care 834,Toys & Baby Products,Baby Care,SELR001015,2018.49,2465.32,2023-09-15
PROD000176,Classic Skincare 544,Beauty & Personal Care,Skincare,SELR001170,967.1,1285.97,2023-02-27
PROD000177,Compact Haircare 420,Beauty & Personal Care,Haircare,SELR000197,1339.75,1883.43,2023-01-18
PROD000178,Smart Cameras 695,Electronics,Cameras,SELR000078,1756.9,2059.8,2024-06-06
PROD000179,Everyday Snacks 979,Grocery,Snacks,SELR000374,224.38,264.66,2023-01-24
PROD000180,Premium Headphone 700,Electronics,Headphones,SELR000818,6614.5,7456.02,2023-08-06
PROD000181,Comfort Headphone 178,Electronics,Headphones,SELR000006,9193.42,10477.17,2023-07-20
PROD000182,Advanced Footwear 113,Fashion,Footwear,SELR001005,3177.13,5057.74,2022-11-28
PROD000183,Trendy Home Decor 557,Home & Kitchen,Home Decor,SELR000497,508.01,688.52,2024-12-02
PROD000184,Superior Baby Gear 435,Toys & Baby Products,Baby Gear,SELR000315,1724.99,2178.52,2023-10-22
PROD000185,Premium Comics 709,Books,Comics,SELR000473,472.43,568.47,2023-06-29
PROD000186,Premium Kids Wear 250,Fashion,Kids Wear,SELR000927,1007.12,1503.58,2023-02-09
PROD000187,Basic Furniture 705,Home & Kitchen,Furniture,SELR000258,3096.79,4283.65,2023-02-09
PROD000188,Pro Academic 268,Books,Academic,SELR000699,306.1,382.65,2024-01-29
PROD000189,Comfort Makeup 105,Beauty & Personal Care,Makeup,SELR000002,573.44,830.83,2023-03-15
PROD000190,Everyday Men's Clothing 972,Fashion,Men's Clothing,SELR000969,534.83,796.68,2023-12-27
PROD000191,Smart Cookware 124,Home & Kitchen,Cookware,SELR000394,2038.4,2628.52,2023-09-28
PROD000192,Trendy Fragrances 407,,Fragrances,SELR000489,146.65,205.76,2023-09-09
PROD000193,Deluxe Toys 432,Toys & Baby Products,Toys,SELR000449,155.22,201.39,2023-12-16
PROD000194,Pro Cycling 749,Sports & Fitness,Cycling,SELR000883,912.24,1239.23,2025-03-12
PROD000195,Basic Cameras 641,Electronics,Cameras,SELR001122,61504.21,77153.35,2023-03-31
PROD000196,Trendy Team Sport 896,Sports & Fitness,Team Sports,SELR000588,10836.19,15579.56,2024-02-24
PROD000197,Classic Kids Wear 522,Fashion,Kids Wear,SELR000986,309.72,433.2,2023-01-24
PROD000198,Signature Dairy 314,Grocery,Dairy,SELR000211,95.87,102.44,2023-11-18
PROD000199,Classic Storage 133,Home & Kitchen,,SELR000832,9607.14,13699.07,2023-05-23
PROD000200,Smart Bags 980,Fashion,Bags,SELR000989,1436.64,2315.64,2025-08-11
PROD000201,Premium Bedding 294,Home & Kitchen,Bedding,SELR000681,5589.56,7385.64,2024-09-03
PROD000202,Basic Kids Wear 461,Fashion,Kids Wear,SELR001041,385.53,630.53,2023-06-21
PROD000203,Premium Kids Wear 303,Fashion,Kids Wear,SELR000474,1849.01,2632.92,2025-06-28
PROD000204,Elite Personal Hygiene 715,Beauty & Personal Care,Personal Hygiene,SELR000144,181.53,270.43,2023-12-06
PROD000205,Elite Self-Help 415,Books,Self-Help,SELR000498,732.24,891.68,2023-01-26
PROD000206,Trendy Beverage 926,Grocery,Beverages,SELR000827,1499.75,1659.28,2025-01-25
PROD000207,Superior Storage 414,Home & Kitchen,Storage,SELR000653,14198.92,19380.96,2025-01-01
PROD000208,Advanced Laptops 937,Electronics,Laptops,SELR000109,20395.14,25801.36,2023-07-02
PROD000209,Pro Furniture 363,Home & Kitchen,Furniture,SELR000436,9016.42,11598.66,2025-01-17
PROD000210,Compact Storage 534,Home & Kitchen,Storage,SELR000742,10451.91,14048.76,2023-07-15
PROD000211,Everyday Men's Clothing 894,Fashion,Men's Clothing,SELR000555,284.59,437.08,2023-02-21
PROD000212,Basic Baby Gear 702,Toys & Baby Products,Baby Gear,SELR000364,865.11,1154.19,2024-09-20
PROD000213,Signature Baby Feeding 672,Toys & Baby Products,Baby Feeding,SELR000560,635.03,772.21,2024-05-29
PROD000214,Basic Tablets 693,Electronics,Tablets,SELR000794,1767.12,2184.44,2023-11-24
PROD000215,Everyday Children's Book 564,Books,Children's Books,SELR001118,177.6,218.97,2023-07-21
PROD000216,Superior Yoga Accessories 524,Sports & Fitness,Yoga Accessories,SELR001180,1838.82,2308.36,2024-06-02
PROD000217,Premium Watches & Jewellery 542,Fashion,Watches & Jewellery,SELR000484,562.51,806.79,2023-04-02
PROD000218,Pro Skincare 381,Beauty & Personal Care,Skincare,SELR000988,2039.99,3126.07,2025-07-20
PROD000219,Everyday Smart Watches 699,Electronics,Smart Watches,SELR001151,4382.53,4857.19,2023-04-17
PROD000220,Essential Smartphones 965,Electronics,Smartphones,SELR000897,11238.28,13206.81,2023-01-17
PROD000221,Essential Baby Care 745,Toys & Baby Products,Baby Care,SELR000537,843.0,1104.74,2023-07-25
PROD000222,Basic Fragrance 599,Beauty & Personal Care,Fragrances,SELR001054,986.82,1323.65,2024-02-25
PROD000223,Basic Watches & Jewellery 522,Fashion,Watches & Jewellery,SELR000584,3299.41,4775.68,2023-07-09
PROD000224,Comfort Home Decor 126,Home & Kitchen,Home Decor,SELR000226,1215.2,1740.5,2023-02-16
PROD000225,Pro Baby Feeding 810,Toys & Baby Products,Baby Feeding,SELR000231,526.62,642.88,2025-08-19
PROD000226,Superior Cookware 760,Home & Kitchen,Cookware,SELR000096,566.67,784.44,2023-10-31
PROD000227,Premium Baby Feeding 145,Toys & Baby Products,Baby Feeding,SELR000071,1077.57,1437.1,2024-01-01
PROD000228,Trendy Staples 549,Grocery,Staples,SELR000965,41.34,44.64,2023-07-06
PROD000229,Everyday Men's Clothing 355,Fashion,Men's Clothing,SELR000555,785.77,1144.72,2023-06-10
PROD000230,Basic Outdoor Gear 912,Sports & Fitness,Outdoor Gear,SELR000551,934.65,1239.06,2023-07-24
PROD000231,Deluxe Team Sport 235,Sports & Fitness,Team Sports,SELR000477,4030.79,5477.54,2025-09-09
PROD000232,Deluxe Academic 576,Books,Academic,SELR001067,454.98,555.26,2023-01-15
PROD000233,Advanced Cookware 315,Home & Kitchen,Cookware,SELR001031,682.97,928.2,2023-11-16
PROD000234,Basic Smartphones 890,Electronics,Smartphones,SELR000726,1605.88,1972.54,2023-01-29
PROD000235,Smart Bags 717,Fashion,Bags,SELR001116,924.03,1389.28,2023-10-09
PROD000236,Signature Personal Hygiene 710,Beauty & Personal Care,Personal Hygiene,SELR001154,1928.93,2627.07,2023-08-19
PROD000237,Comfort Children's Books 771,Books,,SELR000511,126.98,162.59,2023-07-01
PROD000238,Advanced Fiction 850,Books,Fiction,SELR001189,246.1,293.64,2023-05-19
PROD000239,Signature Fragrances 601,Beauty & Personal Care,Fragrances,SELR000218,311.17,428.19,2025-01-22
PROD000240,Ultra Cameras 519,Electronics,Cameras,SELR001124,7907.74,9898.87,2023-11-28
PROD000241,Superior Tablets 398,Electronics,Tablets,SELR001084,18987.55,22640.58,2023-02-10
PROD000242,Essential Children's Book 446,Books,Children's Books,SELR001102,665.73,847.21,2024-02-17
PROD000243,Basic Fragrances 846,Beauty & Personal Care,Fragrances,SELR000138,144.7,206.58,2023-01-25
PROD000244,Basic Academic 403,Books,Academic,SELR000684,110.29,129.64,2025-02-09
PROD000245,Pro Kids Wear 949,Fashion,Kids Wear,SELR000581,2264.54,3571.07,2023-06-11
PROD000246,Everyday Home Decor 953,Home & Kitchen,Home Decor,SELR000853,11186.64,14929.63,2023-06-01
PROD000247,Basic Baby Feeding 870,Toys & Baby Products,Baby Feeding,SELR000060,201.48,248.16,2023-07-16
PROD000248,Essential Bags 126,Fashion,Bags,SELR000534,506.54,724.49,2023-07-06
PROD000249,Smart Accessories 511,Electronics,Accessories,SELR000052,8104.54,9857.29,2023-01-23
PROD000250,Smart Cycling 670,Sports & Fitness,Cycling,SELR000577,389.03,485.22,2023-02-07
PROD000251,Basic Grooming Tools 709,Beauty & Personal Care,Grooming Tools,SELR000830,209.42,309.2,2023-10-31
PROD000252,Everyday Baby Care 952,Toys & Baby Products,Baby Care,SELR000172,432.65,537.21,2025-08-19
PROD000253,Elite Baby Care 595,Toys & Baby Products,,SELR000786,680.81,859.1,2023-05-26
PROD000254,Pro Fiction 912,Books,Fiction,SELR001073,248.76,315.51,2023-06-20
PROD000255,Smart Laptops 832,Electronics,Laptops,SELR001140,3473.55,3930.23,2023-05-22
PROD000256,Essential Storage 831,Home & Kitchen,Storage,SELR000777,777.06,954.16,2023-12-26
PROD000257,Advanced Toy 205,Toys & Baby Products,Toys,SELR000772,3535.1,4858.09,2022-12-28
PROD000258,Advanced Furniture 992,Home & Kitchen,Furniture,SELR000122,2000.08,2698.1,2023-09-22
PROD000259,Compact Baby Gear 485,Toys & Baby Products,Baby Gear,SELR000086,365.63,475.66,2025-01-12
PROD000260,Premium Outdoor Gear 514,Sports & Fitness,Outdoor Gear,SELR000906,740.88,1041.77,2023-02-13
PROD000261,Superior Laptops 954,Electronics,Laptops,SELR000193,21033.0,24211.05,2023-02-07
PROD000262,Classic Storage 313,Home & Kitchen,Storage,SELR000487,6800.07,8443.0,2023-06-04
PROD000263,Everyday Cycling 169,Sports & Fitness,Cycling,SELR000257,458.38,562.25,2023-02-01
PROD000264,Signature Smart Watche 569,,Smart Watches,SELR000123,2280.86,2601.81,2023-10-04
PROD000265,Signature Kids Wear 158,Fashion,Kids Wear,SELR000849,3375.84,4775.41,2025-09-24
