order_id,customer_id,order_date,order_status,cancellation_reason,shipped_date,delivery_date,expected_delivery_date,delivery_city,delivery_state,order_total
ORDR000029,CUST012143,2024-01-01,Delivered,,2024-01-03,2024-01-07,2024-01-06,Pune,Maharashtra,94756.79
ORDR000030,CUST003907,2024-01-01,Delivered,,2024-01-02,2024-01-12,2024-01-09,Rohtak,Haryana,27771.91
ORDR000031,CUST034691,2024-01-01,Delivered,,2024-01-01,2024-01-07,2024-01-06,Jaipur,Rajasthan,10053.47
ORDR000032,CUST011135,2024-01-01,Delivered,,2024-01-02,2024-01-06,2024-01-05,Chennai,Tamil Nadu,8798.72
ORDR000033,CUST036389,2024-01-01,Delivered,,2024-01-01,2024-01-08,2024-01-07,Nagpur,Maharashtra,3756.84
ORDR000034,CUST010352,2024-01-01,Returned,,2024-01-02,2024-01-08,2024-01-06,Kanpur,Uttar Pradesh,4564.02
ORDR000035,CUST003917,2024-01-01,Delivered,,2024-01-01,2024-01-04,2024-01-04,Mumbai,Maharashtra,817.73
ORDR000036,CUST007206,2024-01-01,Returned,,2024-01-01,2024-01-02,2024-01-04,Kolkata,West Bengal,9383.75
ORDR000037,CUST034011,2024-01-01,Delivered,,2024-01-02,2024-01-09,2024-01-05,Mumbai,Maharashtra,1451.9
ORDR000038,CUST013995,2024-01-01,Delivered,,2024-01-03,2024-01-07,2024-01-04,Delhi,Delhi,331.04
ORDR000039,CUST029955,2024-01-01,Delivered,,2024-01-01,2024-01-05,2024-01-05,Pune,Maharashtra,4272.55
ORDR000040,CUST037846,2024-01-01,Delivered,,2024-01-03,2024-01-08,2024-01-07,Jodhpur,Rajasthan,14227.31
ORDR000041,CUST027961,2024-01-01,Delivered,,2024-01-01,2024-01-07,2024-01-07,Surat,Gujarat,2525.67
ORDR000042,CUST037055,2024-01-01,Delivered,,2024-01-02,2024-01-06,2024-01-06,Lucknow,Uttar Pradesh,4152.99
ORDR000043,CUST028920,2024-01-01,Delivered,,2024-01-01,2024-01-03,2024-01-04,Mumbai,Maharashtra,8320.76
ORDR000044,CUST027263,2024-01-01,Delivered,,2024-01-01,2024-01-04,2024-01-05,Guwahati,Assam,3234.98
ORDR000045,CUST036477,2024-01-01,Delivered,,2024-01-02,2024-01-09,2024-01-08,Thrissur,Kerala,30610.29
ORDR000046,CUST001239,2024-01-01,Delivered,,2024-01-02,2024-01-07,2024-01-08,Ranchi,Jharkhand,869.04
ORDR000047,CUST004695,2024-01-01,Delivered,,2024-01-01,2024-01-02,2024-01-05,Hyderabad,Telangana,18943.52
ORDR000048,CUST016741,2024-01-01,Cancelled,Product unavailable,,,,Rohtak,Haryana,331.04
ORDR000049,CUST001238,2024-01-01,Delivered,,2024-01-03,2024-01-07,2024-01-04,Delhi,Delhi,17260.26
ORDR000050,CUST036232,2024-01-01,Delivered,,2024-01-03,2024-01-07,2024-01-05,Surat,Gujarat,1744.23
ORDR000051,CUST029883,2024-01-01,Delivered,,2024-01-03,2024-01-06,2024-01-05,Noida,Uttar Pradesh,1182.69
ORDR000052,CUST012662,2024-01-01,Cancelled,Customer changed mind,,,,Chandigarh,Chandigarh,218266.83
ORDR000053,CUST019854,2024-01-01,Shipped,,2024-01-02,,2024-01-08,Moradabad,Uttar Pradesh,3919.31
ORDR000054,CUST027926,2024-01-01,Delivered,,2024-01-03,2024-01-06,2024-01-05,Varanasi,Uttar Pradesh,3849.25
ORDR000055,CUST018670,2024-01-01,Delivered,,2024-01-03,2024-01-11,2024-01-07,Lucknow,Uttar Pradesh,207.3
ORDR000056,CUST032875,2024-01-01,Cancelled,Delayed processing,,,,Bengaluru,Karnataka,6907.23
ORDR000057,CUST008867,2024-01-01,Delivered,,2024-01-02,2024-01-07,2024-01-05,Indore,Madhya Pradesh,16776.38
ORDR000058,CUST006214,2024-01-01,Delivered,,2024-01-01,2024-01-08,2024-01-07,Ranchi,Jharkhand,2295.98
ORDR000059,CUST003390,2024-01-01,Delivered,,2024-01-02,2024-01-06,2024-01-04,Chennai,Tamil Nadu,19134.84
ORDR000060,CUST016373,2024-01-01,Delivered,,2024-01-02,2024-01-08,2024-01-09,Mysuru,Karnataka,747.24
ORDR000061,CUST017755,2024-01-01,Delivered,,2024-01-01,2024-01-11,2024-01-06,Jaipur,Rajasthan,2942.87
ORDR000062,CUST014853,2024-01-01,Delivered,,2024-01-01,2024-01-04,2024-01-05,Delhi,Delhi,563.61
ORDR000063,CUST029229,2024-01-01,Delivered,,2024-01-01,2024-01-06,2024-01-06,Ahmedabad,Gujarat,13702.08
ORDR000064,CUST030431,2024-01-01,Cancelled,Address issue,,,,Delhi,Delhi,99687.97
ORDR000065,CUST017471,2024-01-01,Delivered,,2024-01-02,2024-01-17,2024-01-07,Ghaziabad,Uttar Pradesh,18263.23
ORDR000066,CUST037966,2024-01-01,Delivered,,2024-01-01,2024-01-02,2024-01-04,Kolkata,West Bengal,17216.0
ORDR000067,CUST034338,2024-01-01,Delivered,,2024-01-03,2024-01-10,2024-01-08,Jamshedpur,Jharkhand,63901.07
ORDR000068,CUST011538,2024-01-01,Delivered,,2024-01-03,2024-01-10,2024-01-07,Lucknow,Uttar Pradesh,1528.02
ORDR000069,CUST023148,2024-01-01,Delivered,,2024-01-03,2024-01-07,2024-01-06,Ghaziabad,Uttar Pradesh,1008.07
ORDR000070,CUST033379,2024-01-01,Delivered,,2024-01-02,2024-01-09,2024-01-08,Solapur,Maharashtra,17848.4
ORDR000071,CUST035413,2024-01-01,Delivered,,2024-01-02,2024-01-03,2024-01-05,Surat,Gujarat,318.72
ORDR000072,CUST015763,2024-01-01,Pending,,,,2024-01-04,Gurugram,Haryana,5023.47
ORDR000073,CUST019027,2024-01-01,Delivered,,2024-01-01,2024-01-05,2024-01-05,Delhi,Delhi,15913.66
ORDR000074,CUST009142,2024-01-01,Returned,,2024-01-03,2024-01-07,2024-01-04,Delhi,Delhi,877.66
ORDR000075,CUST009145,2024-01-01,Delivered,,2024-01-03,2024-01-07,2024-01-06,Bengaluru,Karnataka,4077.49
ORDR000076,CUST004244,2024-01-01,Delivered,,2024-01-02,2024-01-08,2024-01-05,Delhi,Delhi,7700.83
ORDR000077,CUST002003,2024-01-01,Delivered,,2024-01-03,2024-01-07,2024-01-07,Bhubaneswar,Odisha,48372.01
ORDR000078,CUST028515,2024-01-01,Delivered,,2024-01-03,2024-01-09,2024-01-08,Rourkela,Odisha,4890.75
ORDR000079,CUST025214,2024-01-01,Delivered,,2024-01-03,2024-01-05,2024-01-04,Bengaluru,Karnataka,15591.36
ORDR000080,CUST015939,2024-01-01,Delivered,,2024-01-01,2024-01-03,2024-01-04,Bengaluru,Karnataka,2395.52
ORDR000081,CUST026244,2024-01-01,Delivered,,2024-01-03,2024-01-07,2024-01-07,Solapur,Maharashtra,868.8
ORDR000082,CUST002201,2024-01-01,Delivered,,2024-01-01,2024-01-11,2024-01-06,Bengaluru,Karnataka,20169.88
ORDR000083,CUST031831,2024-01-01,Delivered,,2024-01-01,2024-01-08,2024-01-07,Guwahati,Assam,16275.97
ORDR000084,CUST009116,2024-01-01,Delivered,,2024-01-03,2024-01-06,2024-01-05,Mumbai,Maharashtra,22561.77
ORDR000085,CUST007303,2024-01-01,Delivered,,2024-01-02,2024-01-09,2024-01-08,Jabalpur,Madhya Pradesh,51434.58
ORDR000086,CUST001705,2024-01-01,Delivered,,2024-01-02,2024-01-10,2024-01-07,Ludhiana,Punjab,2502.86
ORDR000087,CUST002274,2024-01-01,Delivered,,2024-01-03,2024-01-06,2024-01-05,Ludhiana,Punjab,3906.04
ORDR000088,CUST014453,2024-01-01,Delivered,,2024-01-01,2024-01-05,2024-01-05,Chandigarh,Chandigarh,9761.01
ORDR000089,CUST029471,2024-01-01,Delivered,,2024-01-01,2024-01-06,2024-01-06,Shillong,Meghalaya,510.4
ORDR000090,CUST037475,2024-01-01,Cancelled,Address issue,,,,Kolkata,West Bengal,2406.73
ORDR000091,CUST008094,2024-01-01,Delivered,,2024-01-01,2024-01-06,2024-01-05,Chennai,Tamil Nadu,5552.47
ORDR000092,CUST035779,2024-01-01,Returned,,2024-01-03,2024-01-07,2024-01-06,Aurangabad,Maharashtra,11647.35
ORDR000093,CUST027415,2024-01-01,Delivered,,2024-01-01,2024-01-05,2024-01-06,Mangaluru,Karnataka,3703.04
ORDR000094,CUST009005,2024-01-01,Delivered,,2024-01-02,2024-01-09,2024-01-06,Ludhiana,Punjab,51622.04
ORDR000095,CUST034399,2024-01-01,Delivered,,2024-01-03,2024-01-09,2024-01-06,Bengaluru,Karnataka,25636.32
ORDR000096,CUST034628,2024-01-02,Delivered,,2024-01-02,2024-01-06,2024-01-07,Delhi,Delhi,12806.89
ORDR000097,CUST001245,2024-01-02,Delivered,,2024-01-02,2024-01-08,2024-01-08,Cuttack,Odisha,3163.03
ORDR000098,CUST017414,2024-01-02,Delivered,,2024-01-02,2024-01-08,2024-01-08,Lucknow,Uttar Pradesh,763.86
ORDR000099,CUST035507,2024-01-02,Delivered,,2024-01-04,2024-01-08,2024-01-07,Meerut,Uttar Pradesh,2631.71
ORDR000100,CUST004235,2024-01-02,Cancelled,Payment issue,,,,Delhi,Delhi,69989.02
ORDR000101,CUST030400,2024-01-02,Cancelled,Customer changed mind,,,,Thiruvananthapuram,Kerala,75.36
ORDR000102,CUST003908,2024-01-02,Delivered,,2024-01-04,2024-01-08,2024-01-07,Vadodara,Gujarat,224991.1
ORDR000103,CUST002806,2024-01-02,Delivered,,2024-01-04,2024-01-16,2024-01-08,Jaipur,Rajasthan,2612.03
ORDR000104,CUST023003,2024-01-02,Delivered,,2024-01-03,2024-01-08,2024-01-08,Vadodara,Gujarat,445.53
ORDR000105,CUST010384,2024-01-02,Delivered,,2024-01-02,2024-01-09,2024-01-10,Kota,Rajasthan,17737.96
ORDR000106,CUST018106,2024-01-02,Delivered,,2024-01-04,2024-01-13,2024-01-07,Bhubaneswar,Odisha,1338.37
ORDR000107,CUST036915,2024-01-02,Delivered,,2024-01-04,2024-01-10,2024-01-08,Jaipur,Rajasthan,330.36
ORDR000108,CUST029060,2024-01-02,Delivered,,2024-01-03,2024-01-06,2024-01-06,Chennai,Tamil Nadu,6947.6
ORDR000109,CUST030554,2024-01-02,Delivered,,2024-01-04,2024-01-08,2024-01-06,Kolkata,West Bengal,1012.62
ORDR000110,CUST033275,2024-01-02,Delivered,,2024-01-04,2024-01-08,2024-01-07,Lucknow,Uttar Pradesh,3030.79
ORDR000111,CUST019761,2024-01-02,Delivered,,2024-01-02,2024-01-06,2024-01-07,Solapur,Maharashtra,8486.15
ORDR000112,CUST030159,2024-01-02,Delivered,,2024-01-02,2024-01-07,2024-01-07,Ahmedabad,Gujarat,24117.68
ORDR000113,CUST013577,2024-01-02,Delivered,,2024-01-03,2024-01-07,2024-01-05,Gurugram,Haryana,53619.45
ORDR000114,CUST031952,2024-01-02,Returned,,2024-01-03,2024-01-08,2024-01-08,Jaipur,Rajasthan,10749.67
ORDR000115,CUST021512,2024-01-02,Delivered,,2024-01-03,2024-01-08,2024-01-08,Ludhiana,Punjab,9227.93
ORDR000116,CUST004415,2024-01-02,Cancelled,Payment issue,,,,Delhi,Delhi,4637.66
ORDR000117,CUST007594,2024-01-02,Delivered,,2024-01-03,2024-01-08,2024-01-05,Bengaluru,Karnataka,1232.69
ORDR000118,CUST039224,2024-01-02,Delivered,,2024-01-04,2024-01-15,2024-01-08,Kozhikode,Kerala,1915.89
ORDR000119,CUST011233,2024-01-02,Delivered,,2024-01-04,2024-01-08,2024-01-06,Mumbai,Maharashtra,9188.96
ORDR000120,CUST017766,2024-01-02,Delivered,,2024-01-04,2024-01-10,2024-01-07,Madurai,Tamil Nadu,10503.6
ORDR000121,CUST021981,2024-01-02,Delivered,,2024-01-04,2024-01-08,2024-01-05,Noida,Uttar Pradesh,1104.36
ORDR000122,CUST005813,2024-01-02,Shipped,,2024-01-04,,2024-01-07,Vadodara,Gujarat,1458.62
ORDR000123,CUST004136,2024-01-02,Delivered,,2024-01-03,2024-01-07,2024-01-05,Bengaluru,Karnataka,11848.65
ORDR000124,CUST017182,2024-01-02,Shipped,,2024-01-03,,2024-01-07,Hyderabad,Telangana,72963.84
ORDR000125,CUST018023,2024-01-02,Delivered,,2024-01-02,2024-01-06,2024-01-06,Lucknow,Uttar Pradesh,65888.96
ORDR000126,CUST023524,2024-01-02,Delivered,,2024-01-02,2024-01-07,2024-01-07,Surat,Gujarat,11496.57
ORDR000127,CUST001229,2024-01-02,Cancelled,Customer changed mind,,,,Panaji,Goa,2957.13
ORDR000128,CUST012814,2024-01-02,Delivered,,2024-01-02,2024-01-09,2024-01-08,Kozhikode,Kerala,856.63
ORDR000129,CUST033053,2024-01-02,Delivered,,2024-01-02,2024-01-07,2024-01-07,Surat,Gujarat,19612.87
ORDR000130,CUST025044,2024-01-02,Delivered,,2024-01-03,2024-01-09,2024-01-07,Rajkot,Gujarat,26421.37
ORDR000131,CUST019491,2024-01-02,Cancelled,Customer changed mind,,,,Ludhiana,Punjab,7345.68
ORDR000132,CUST010499,2024-01-02,Pending,,,,2024-01-07,Ghaziabad,Uttar Pradesh,23461.47
ORDR000133,CUST007448,2024-01-02,Delivered,,2024-01-02,2024-01-08,2024-01-06,Bengaluru,Karnataka,1775.57
ORDR000134,CUST028878,2024-01-02,Delivered,,2024-01-04,2024-01-06,2024-01-05,Kolkata,West Bengal,2502.56
ORDR000135,CUST001097,2024-01-02,Delivered,,2024-01-03,2024-01-12,2024-01-09,Bareilly,Uttar Pradesh,9357.53
ORDR000136,CUST001338,2024-01-02,Returned,,2024-01-02,2024-01-08,2024-01-08,Nashik,Maharashtra,2131.04
ORDR000137,CUST018500,2024-01-02,Cancelled,Delayed processing,,,,Delhi,Delhi,1674.04
ORDR000138,CUST014247,2024-01-02,Delivered,,2024-01-03,2024-01-09,2024-01-07,Kozhikode,Kerala,16119.21
ORDR000139,CUST036081,2024-01-02,Pending,,,,2024-01-07,Mangaluru,Karnataka,2300.23
ORDR000140,CUST015721,2024-01-02,Delivered,,2024-01-03,2024-01-06,2024-01-05,Hyderabad,Telangana,2355.41
ORDR000141,CUST011328,2024-01-02,Delivered,,2024-01-03,2024-01-05,2024-01-07,Chennai,Tamil Nadu,10677.01
ORDR000142,CUST023766,2024-01-02,Pending,,,,2024-01-05,Delhi,Delhi,5615.82
ORDR000143,CUST008863,2024-01-02,Delivered,,2024-01-04,2024-01-05,2024-01-06,Ghaziabad,Uttar Pradesh,408.53
ORDR000144,CUST009730,2024-01-02,Delivered,,2024-01-03,2024-01-07,2024-01-06,Nashik,Maharashtra,3376.08
ORDR000145,CUST034929,2024-01-02,Pending,,,,2024-01-06,Patna,Bihar,23346.54
ORDR000146,CUST029663,2024-01-02,Delivered,,2024-01-03,2024-01-07,2024-01-06,Indore,Madhya Pradesh,149.98
ORDR000147,CUST014380,2024-01-02,Delivered,,2024-01-04,2024-01-05,2024-01-06,Bengaluru,Karnataka,7908.14
ORDR000148,CUST005431,2024-01-02,Delivered,,2024-01-03,2024-01-06,2024-01-07,Imphal,Manipur,73422.48
ORDR000149,CUST003596,2024-01-02,Returned,,2024-01-04,2024-01-07,2024-01-05,Gurugram,Haryana,877.59
ORDR000150,CUST006593,2024-01-02,Delivered,,2024-01-03,2024-01-07,2024-01-06,Ahmedabad,Gujarat,286.4
ORDR000151,CUST026416,2024-01-02,Delivered,,2024-01-02,2024-01-06,2024-01-07,Vadodara,Gujarat,10559.24
ORDR000152,CUST033109,2024-01-02,Pending,,,,2024-01-05,Kolkata,West Bengal,180.16
ORDR000153,CUST009101,2024-01-02,Delivered,,2024-01-04,2024-01-08,2024-01-05,Hyderabad,Telangana,15483.25
ORDR000154,CUST006468,2024-01-02,Cancelled,Payment issue,,,,Nagpur,Maharashtra,26510.83
ORDR000155,CUST015186,2024-01-02,Pending,,,,2024-01-08,Mysuru,Karnataka,6781.51
ORDR000156,CUST003165,2024-01-02,Delivered,,2024-01-02,2024-01-06,2024-01-06,Gurugram,Haryana,2955.96
ORDR000157,CUST005551,2024-01-02,Delivered,,2024-01-04,2024-01-07,2024-01-06,Chennai,Tamil Nadu,847.55
ORDR000158,CUST005555,2024-01-02,Cancelled,Product unavailable,,,,Bengaluru,Karnataka,64238.19
ORDR000159,CUST019043,2024-01-02,Delivered,,2024-01-04,2024-01-07,2024-01-07,Ahmedabad,Gujarat,171.51
ORDR000160,CUST035383,2024-01-02,Delivered,,2024-01-03,2024-01-07,2024-01-07,Noida,Uttar Pradesh,672.15
ORDR000161,CUST003231,2024-01-02,Cancelled,Customer changed mind,,,,Bengaluru,Karnataka,9026.52
ORDR000162,CUST038408,2024-01-02,Delivered,,2024-01-03,2024-01-09,2024-01-07,Lucknow,Uttar Pradesh,9753.18
ORDR000163,CUST032209,2024-01-02,Delivered,,2024-01-03,2024-01-09,2024-01-08,Vijayawada,Andhra Pradesh,20705.47
ORDR000164,CUST003011,2024-01-02,Delivered,,2024-01-04,2024-01-08,2024-01-07,Ahmedabad,Gujarat,1113.3
ORDR000165,CUST034289,2024-01-02,Delivered,,2024-01-02,2024-01-04,2024-01-06,Kanpur,Uttar Pradesh,4165.94
ORDR000166,CUST023081,2024-01-02,Delivered,,2024-01-03,2024-01-08,2024-01-08,Bhopal,Madhya Pradesh,66969.11
ORDR000167,CUST032058,2024-01-02,Delivered,,2024-01-03,2024-01-06,2024-01-08,Jalandhar,Punjab,1958.0
ORDR000168,CUST038161,2024-01-02,Delivered,,2024-01-04,2024-01-09,2024-01-07,Hyderabad,Telangana,706.84
ORDR000169,CUST039898,2024-01-02,Cancelled,Customer changed mind,,,,Hyderabad,Telangana,192298.96
ORDR000170,CUST007247,2024-01-02,Cancelled,Customer changed mind,,,,Vijayawada,Andhra Pradesh,12148.76
ORDR000171,CUST018428,2024-01-02,Delivered,,2024-01-02,2024-01-09,2024-01-08,Jaipur,Rajasthan,2729.88
ORDR000172,CUST018432,2024-01-02,Delivered,,2024-01-02,2024-01-12,2024-01-05,Ahmedabad,Gujarat,951.53
ORDR000173,CUST039472,2024-01-02,Delivered,,2024-01-02,2024-01-10,2024-01-09,Hubballi,Karnataka,3861.61
ORDR000174,CUST001422,2024-01-02,Delivered,,2024-01-02,2024-01-03,2024-01-05,Mumbai,Maharashtra,64530.72
ORDR000175,CUST000699,2024-01-02,Delivered,,2024-01-02,2024-01-10,2024-01-08,Dehradun,Uttarakhand,36297.96
ORDR000176,CUST031209,2024-01-02,Delivered,,2024-01-04,2024-01-10,2024-01-08,Dehradun,Uttarakhand,59602.76
ORDR000177,CUST028931,2024-01-02,Delivered,,2024-01-03,2024-01-07,2024-01-06,Kolkata,West Bengal,11632.84
ORDR000178,CUST009900,2024-01-02,Delivered,,2024-01-04,2024-01-11,2024-01-07,Surat,Gujarat,1584.53
ORDR000179,CUST003644,2024-01-02,Delivered,,2024-01-03,2024-01-10,2024-01-07,Bhubaneswar,Odisha,4800.93
ORDR000180,CUST001344,2024-01-02,Delivered,,2024-01-02,2024-01-05,2024-01-06,Pune,Maharashtra,1176.67
ORDR000181,CUST018466,2024-01-02,Delivered,,2024-01-04,2024-01-08,2024-01-07,Kolkata,West Bengal,8926.05
ORDR000182,CUST035776,2024-01-02,Delivered,,2024-01-03,2024-01-09,2024-01-08,Nashik,Maharashtra,700.22
ORDR000183,CUST000736,2024-01-02,Delivered,,2024-01-02,2024-01-06,2024-01-07,Noida,Uttar Pradesh,933.31
ORDR000184,CUST027881,2024-01-02,Delivered,,2024-01-03,2024-01-10,2024-01-08,Indore,Madhya Pradesh,2028.09
ORDR000185,CUST013937,2024-01-03,Delivered,,2024-01-03,2024-01-05,2024-01-06,Hyderabad,Telangana,1190.75
ORDR000186,CUST011173,2024-01-03,Delivered,,2024-01-03,2024-01-07,2024-01-08,Raipur,Chhattisgarh,1714.43
ORDR000187,CUST009418,2024-01-03,Cancelled,Product unavailable,,,,Mumbai,Maharashtra,35735.66
ORDR000188,CUST024546,2024-01-03,Delivered,,2024-01-04,2024-01-11,2024-01-10,Cuttack,Odisha,11702.43
ORDR000189,CUST023425,2024-01-03,Delivered,,2024-01-04,2024-01-11,2024-01-07,Mumbai,Maharashtra,4011.82
ORDR000190,CUST014971,2024-01-03,Cancelled,Product unavailable,,,,Ludhiana,Punjab,47694.49
ORDR000191,CUST024955,2024-01-03,Delivered,,2024-01-04,2024-01-10,2024-01-08,Lucknow,Uttar Pradesh,7312.52
ORDR000192,CUST032251,2024-01-03,Delivered,,2024-01-03,2024-01-10,2024-01-08,Mangaluru,Karnataka,15229.49
ORDR000193,CUST030524,2024-01-03,Delivered,,2024-01-03,2024-01-07,2024-01-08,Bengaluru,Karnataka,339.8
ORDR000194,CUST030056,2024-01-03,Delivered,,2024-01-05,2024-01-11,2024-01-10,Mangaluru,Karnataka,555.74
ORDR000195,CUST036737,2024-01-03,Returned,,2024-01-05,2024-01-10,2024-01-07,Coimbatore,Tamil Nadu,57.33
ORDR000196,CUST013121,2024-01-03,Delivered,,2024-01-03,2024-01-14,2024-01-08,Mumbai,Maharashtra,11468.0
ORDR000197,CUST014934,2024-01-03,Pending,,,,2024-01-07,Chennai,Tamil Nadu,688.86
ORDR000198,CUST035176,2024-01-03,Delivered,,2024-01-05,2024-01-09,2024-01-07,Pune,Maharashtra,8299.91
ORDR000199,CUST035422,2024-01-03,Delivered,,2024-01-04,2024-01-12,2024-01-10,Salem,Tamil Nadu,1336.75
ORDR000200,CUST039898,2024-01-03,Shipped,,2024-01-03,,2024-01-06,Hyderabad,Telangana,52361.79
ORDR000201,CUST014170,2024-01-03,Returned,,2024-01-03,2024-01-05,2024-01-06,Kolkata,West Bengal,25981.36
ORDR000202,CUST038958,2024-01-03,Shipped,,2024-01-05,,2024-01-08,Madurai,Tamil Nadu,5182.72
ORDR000203,CUST025654,2024-01-03,Delivered,,2024-01-04,2024-01-15,2024-01-09,Jabalpur,Madhya Pradesh,825.61
ORDR000204,CUST014257,2024-01-03,Delivered,,2024-01-03,2024-01-08,2024-01-07,Noida,Uttar Pradesh,31434.46
ORDR000205,CUST033160,2024-01-03,Shipped,,2024-01-03,,2024-01-07,Ahmedabad,Gujarat,48582.64
ORDR000206,CUST028758,2024-01-03,Delivered,,2024-01-04,2024-01-06,2024-01-07,Surat,Gujarat,209.39
ORDR000207,CUST020113,2024-01-03,Delivered,,2024-01-05,2024-01-08,2024-01-07,Mumbai,Maharashtra,5644.91
ORDR000208,CUST028167,2024-01-03,Delivered,,2024-01-04,2024-01-09,2024-01-07,Bhubaneswar,Odisha,7228.44
ORDR000209,CUST038040,2024-01-03,Delivered,,2024-01-03,2024-01-10,2024-01-09,Vadodara,Gujarat,1519.94
ORDR000210,CUST034443,2024-01-03,Delivered,,2024-01-03,2024-01-08,2024-01-11,Udaipur,Rajasthan,29961.29
ORDR000211,CUST023003,2024-01-03,Delivered,,2024-01-03,2024-01-08,2024-01-07,Vadodara,Gujarat,1627.18
ORDR000212,CUST027445,2024-01-03,Delivered,,2024-01-03,2024-01-07,2024-01-07,Ahmedabad,Gujarat,47915.56
ORDR000213,CUST021642,2024-01-03,Returned,,2024-01-05,2024-01-10,2024-01-07,Patna,Bihar,1794.57
ORDR000214,CUST002562,2024-01-03,Delivered,,2024-01-05,2024-01-10,2024-01-08,Moradabad,Uttar Pradesh,5840.3
ORDR000215,CUST014343,2024-01-03,Delivered,,2024-01-04,2024-01-08,2024-01-08,Faridabad,Haryana,19379.95
ORDR000216,CUST021086,2024-01-03,Delivered,,2024-01-05,2024-01-09,2024-01-07,Delhi,Delhi,476.05
ORDR000217,CUST038889,2024-01-03,Delivered,,2024-01-04,2024-01-05,2024-01-06,Delhi,Delhi,728.9
ORDR000218,CUST013515,2024-01-03,Delivered,,2024-01-05,2024-01-10,2024-01-08,Hubballi,Karnataka,4057.98
ORDR000219,CUST022903,2024-01-03,Delivered,,2024-01-03,2024-01-09,2024-01-08,Pune,Maharashtra,9252.51
ORDR000220,CUST036669,2024-01-03,Returned,,2024-01-03,2024-01-09,2024-01-08,Agra,Uttar Pradesh,38653.88
ORDR000221,CUST010535,2024-01-03,Delivered,,2024-01-03,2024-01-10,2024-01-08,Dehradun,Uttarakhand,233.1
