return_id,order_id,order_item_id,return_date,return_reason,return_status,refund_amount
RTRN000083,ORDR001302,,2024-02-01,Size issue,Rejected,2214.08
RTRN000084,ORDR001303,,2024-01-30,Damaged product,Rejected,27241.83
RTRN000085,ORDR001316,,2024-02-08,Damaged product,Refunded,18793.65
RTRN000086,ORDR001320,,2024-02-04,Damaged product,Refunded,7592.06
RTRN000087,ORDR001326,,2024-02-04,Damaged product,Refunded,1734.14
RTRN000088,ORDR001332,,2024-01-30,Quality issue,Rejected,16610.65
RTRN000089,ORDR001392,,2024-01-22,Damaged product,Refunded,17154.36
RTRN000090,ORDR001399,,2024-02-03,Customer changed mind,Refunded,7853.24
RTRN000091,ORDR001402,,2024-02-02,Damaged product,Refunded,3104.09
RTRN000092,ORDR001415,,2024-02-05,Size issue,Refunded,3909.87
RTRN000093,ORDR001417,,2024-01-30,Customer changed mind,Refunded,719.95
RTRN000094,ORDR001422,,2024-02-08,Damaged product,Refunded,10461.68
RTRN000095,ORDR001427,,2024-01-25,Wrong product,Refunded,14808.18
RTRN000096,ORDR001428,,2024-01-30,Damaged product,Refunded,8783.2
RTRN000097,ORDR001452,,2024-01-24,Customer changed mind,Refunded,1155.88
RTRN000098,ORDR001460,,2024-02-04,Quality issue,Rejected,3595.95
RTRN000099,ORDR001477,,2024-01-30,Customer changed mind,Refunded,277.43
RTRN000100,ORDR001498,,2024-02-04,Wrong product,Rejected,29424.9
RTRN000101,ORDR001505,,2024-01-31,Damaged product,Rejected,4102.07
RTRN000102,ORDR001511,,2024-01-28,Late delivery,Refunded,3363.46
RTRN000103,ORDR001518,,2024-01-22,Wrong product,Refunded,213.8
RTRN000104,ORDR001557,,2024-01-28,Size issue,Refunded,1086.68
RTRN000105,ORDR001572,,2024-01-29,Damaged product,Refunded,4672.05
RTRN000106,ORDR001595,,2024-02-01,Wrong product,Rejected,1410.68
RTRN000107,ORDR001622,,2024-01-30,Size issue,Refunded,5093.42
RTRN000108,ORDR001630,,2024-01-27,Size issue,Refunded,558.8
RTRN000109,ORDR001655,,2024-01-26,Damaged product,Rejected,1197.03
RTRN000110,ORDR001663,,2024-01-28,Damaged product,Refunded,30142.67
RTRN000111,ORDR001667,,2024-01-31,Damaged product,Rejected,10084.88
RTRN000112,ORDR001668,,2024-01-27,Damaged product,Refunded,288.19
RTRN000113,ORDR001699,,2024-02-09,Wrong product,Rejected,136.64
RTRN000114,ORDR001728,,2024-02-07,Damaged product,Refunded,634.83
RTRN000115,ORDR001730,,2024-02-05,Product not as described,Refunded,474.51
RTRN000116,ORDR001735,,2024-02-03,Product not as described,Rejected,17787.91
RTRN000117,ORDR001753,,2024-01-31,Customer changed mind,Rejected,28824.67
RTRN000118,ORDR001757,,2024-02-01,Damaged product,Refunded,165.29
RTRN000119,ORDR001788,,2024-01-30,Wrong product,Refunded,4991.89
RTRN000120,ORDR001802,,2024-02-10,Damaged product,Refunded,1531.0
RTRN000121,ORDR001821,,2024-02-06,Late delivery,Refunded,1664.0
RTRN000122,ORDR001823,,2024-02-08,Quality issue,Rejected,9905.84
RTRN000123,ORDR001842,,2024-02-05,Late delivery,Refunded,992.11
RTRN000124,ORDR001849,,2024-02-05,Late delivery,Refunded,174.03
RTRN000125,ORDR001867,,2024-01-28,Wrong product,Refunded,336.02
RTRN000126,ORDR001915,,2024-01-30,Quality issue,Refunded,1712.75
RTRN000127,ORDR001936,,2024-02-09,Damaged product,Refunded,328.1
RTRN000128,ORDR001939,,2024-02-05,Damaged product,Rejected,25334.61
RTRN000129,ORDR001951,,2024-02-09,Size issue,Rejected,4563.15
RTRN000130,ORDR001970,,2024-01-27,Product not as described,Rejected,1926.08
RTRN000131,ORDR001977,,2024-02-02,Wrong product,Rejected,1910.13
RTRN000132,ORDR001986,,2024-02-05,Quality issue,Refunded,1737.92
RTRN000133,ORDR002014,,2024-02-03,Quality issue,Refunded,1613.55
RTRN000134,ORDR002029,,2024-02-05,Damaged product,Rejected,821.63
RTRN000135,ORDR002032,,2024-01-31,Product not as described,Refunded,8312.63
RTRN000136,ORDR002035,,2024-01-29,Customer changed mind,Refunded,3419.15
RTRN000137,ORDR002127,,2024-02-06,Customer changed mind,Refunded,2615.46
RTRN000138,ORDR002151,,2024-02-05,Quality issue,Refunded,701.97
RTRN000139,ORDR002157,,2024-02-12,Late delivery,Refunded,491.87
RTRN000140,ORDR002162,,2024-02-02,Wrong product,Rejected,4695.44
RTRN000141,ORDR002193,,2024-02-10,Customer changed mind,Rejected,5212.51
RTRN000142,ORDR002267,,2024-02-10,Customer changed mind,Rejected,1840.34
RTRN000143,ORDR002293,,2024-02-11,Late delivery,Refunded,109.11
RTRN000144,ORDR002299,,2024-02-05,Quality issue,Refunded,66465.95
RTRN000145,ORDR002318,,2024-02-09,Product not as described,Refunded,1241.46
RTRN000146,ORDR002325,,2024-02-03,Customer changed mind,Refunded,1719.66
RTRN000147,ORDR002342,,2024-02-14,Damaged product,Rejected,992.4
RTRN000148,ORDR002372,,2024-02-07,Damaged product,Rejected,2323.01
RTRN000149,ORDR002388,,2024-02-16,Size issue,Refunded,900.4
RTRN000150,ORDR002389,,2024-02-03,Product not as described,Refunded,7631.44
RTRN000151,ORDR002391,,2024-02-17,Customer changed mind,Refunded,2211.64
RTRN000152,ORDR002425,,2024-02-09,Wrong product,Refunded,269.47
RTRN000153,ORDR002431,,2024-02-05,Wrong product,Refunded,265.08
RTRN000154,ORDR002434,,2024-02-11,Product not as described,Rejected,3250.93
RTRN000155,ORDR002457,,2024-02-06,Late delivery,Refunded,149.5
RTRN000156,ORDR002511,,2024-02-11,Quality issue,Refunded,10731.7
RTRN000157,ORDR002559,,2024-02-10,Wrong product,Refunded,11512.5
RTRN000158,ORDR002580,,2024-02-19,Product not as described,Refunded,952.64
RTRN000159,ORDR002588,,2024-02-09,Quality issue,Refunded,7888.1
RTRN000160,ORDR002603,,2024-02-09,Late delivery,Rejected,28360.75
RTRN000161,ORDR002605,,2024-02-06,Damaged product,Refunded,790.14
RTRN000162,ORDR002606,,2024-02-17,Damaged product,Refunded,10808.13
RTRN000163,ORDR002607,,2024-02-11,Wrong product,Refunded,2297.46
RTRN000164,ORDR002648,,2024-02-06,Quality issue,Rejected,29747.17
RTRN000165,ORDR002687,,2024-02-07,Damaged product,Refunded,2374.78
RTRN000166,ORDR002709,,2024-02-14,Quality issue,Refunded,22485.29
RTRN000167,ORDR002711,,2024-02-05,Damaged product,Rejected,11669.2
RTRN000168,ORDR002725,,2024-02-17,Product not as described,Refunded,8094.86
RTRN000169,ORDR002729,,2024-02-07,Late delivery,Refunded,1712.01
RTRN000170,ORDR002731,,2024-02-10,Product not as described,Refunded,14350.21
RTRN000171,ORDR002732,,2024-02-06,Size issue,Refunded,8588.99
RTRN000172,ORDR002739,,2024-02-06,Product not as described,Refunded,305.72
RTRN000173,ORDR002745,,2024-02-22,Size issue,Refunded,6039.73
RTRN000174,ORDR002747,,2024-02-06,Customer changed mind,Refunded,10161.64
RTRN000175,ORDR002758,,2024-02-08,Quality issue,Refunded,2987.56
RTRN000176,ORDR002766,,2024-02-06,Quality issue,Refunded,2825.18
RTRN000177,ORDR002791,,2024-02-17,Quality issue,Rejected,3742.99
RTRN000178,ORDR002809,,2024-02-16,Size issue,Refunded,7054.64
RTRN000179,ORDR002811,,2024-02-13,Size issue,Refunded,4968.7
RTRN000180,ORDR002812,,2024-02-22,Damaged product,Refunded,4173.77
RTRN000181,ORDR002837,,2024-02-02,Wrong product,Refunded,27076.66
RTRN000182,ORDR002839,,2024-02-13,Size issue,Refunded,308.17
RTRN000183,ORDR002842,,2024-02-12,Quality issue,Refunded,11994.43
RTRN000184,ORDR002857,,2024-02-11,Wrong product,Refunded,2803.67
RTRN000185,ORDR002862,,2024-02-08,Customer changed mind,Refunded,320.78
RTRN000186,ORDR002876,,2024-02-11,Product not as described,Refunded,138499.76
RTRN000187,ORDR002894,,2024-02-11,Quality issue,Refunded,2591.53
RTRN000188,ORDR002921,,2024-02-16,Product not as described,Refunded,10721.55
RTRN000189,ORDR002949,,2024-02-14,Customer changed mind,Refunded,3817.64
RTRN000190,ORDR002952,,2024-02-18,Customer changed mind,Rejected,2226.1
RTRN000191,ORDR002985,,2024-02-15,Product not as described,Refunded,14182.85
RTRN000192,ORDR003019,,2024-02-19,Product not as described,Refunded,48757.54
RTRN000193,ORDR003023,,2024-02-11,Quality issue,Refunded,33260.76
RTRN000194,ORDR003037,,2024-02-16,Size issue,Refunded,1371.24
RTRN000195,ORDR003048,,2024-02-13,Quality issue,Refunded,161.38
RTRN000196,ORDR003054,,2024-02-15,Wrong product,Refunded,8631.51
RTRN000197,ORDR003067,,2024-02-16,Product not as described,Refunded,924.61
RTRN000198,ORDR003082,,2024-02-16,Quality issue,Refunded,8514.56
RTRN000199,ORDR003084,,2024-02-15,Size issue,Refunded,2907.89
RTRN000200,ORDR003100,,2024-02-15,Wrong product,Refunded,1682.73
RTRN000201,ORDR003105,,2024-02-19,Quality issue,Refunded,1207.32
RTRN000202,ORDR003108,,2024-03-03,Wrong product,Refunded,1186.51
RTRN000203,ORDR003109,,2024-02-25,Customer changed mind,Rejected,4374.32
RTRN000204,ORDR003114,,2024-02-09,Damaged product,Refunded,3084.35
RTRN000205,ORDR003158,,2024-02-15,Wrong product,Refunded,2673.9
RTRN000206,ORDR003181,,2024-02-17,Wrong product,Refunded,2786.4
RTRN000207,ORDR003187,,2024-02-25,Damaged product,Rejected,73333.71
RTRN000208,ORDR003257,,2024-02-19,Product not as described,Refunded,6438.7
RTRN000209,ORDR003272,,2024-02-20,Quality issue,Refunded,195.2
RTRN000210,ORDR003279,,2024-02-12,Damaged product,Rejected,13043.8
RTRN000211,ORDR003290,,2024-02-21,Quality issue,Rejected,59823.78
RTRN000212,ORDR003315,,2024-02-20,Customer changed mind,Refunded,590.69
RTRN000213,ORDR003331,,2024-02-15,Damaged product,Refunded,3177.14
RTRN000214,ORDR003347,,2024-02-20,Damaged product,Refunded,22253.45
RTRN000215,ORDR003374,,2024-02-12,Customer changed mind,Refunded,50892.0
RTRN000216,ORDR003376,,2024-02-16,Size issue,Refunded,845.7
RTRN000217,ORDR003394,,2024-02-21,Damaged product,Rejected,310.85
RTRN000218,ORDR003426,,2024-02-18,Quality issue,Refunded,17472.14
RTRN000219,ORDR003439,,2024-02-20,Quality issue,Refunded,252.82
RTRN000220,ORDR003445,,2024-02-29,Wrong product,Refunded,2839.17
RTRN000221,ORDR003466,,2024-02-21,Customer changed mind,Refunded,11854.57
RTRN000222,ORDR003472,,2024-02-26,Damaged product,Refunded,12450.53
RTRN000223,ORDR003478,,2024-02-27,Wrong product,Refunded,5145.76
RTRN000224,ORDR003483,,2024-02-16,Damaged product,Refunded,211.02
RTRN000225,ORDR003488,,2024-02-23,Product not as described,Refunded,479.5
RTRN000226,ORDR003503,,2024-02-24,Damaged product,Refunded,25010.31
RTRN000227,ORDR003525,,2024-02-18,Size issue,Refunded,1468.19
RTRN000228,ORDR003538,,2024-02-18,Size issue,Refunded,31742.33
RTRN000229,ORDR003576,,2024-02-16,Quality issue,Refunded,65991.76
RTRN000230,ORDR003599,,2024-02-23,Damaged product,Refunded,11430.59
RTRN000231,ORDR003602,,2024-02-23,Quality issue,Rejected,7094.24
RTRN000232,ORDR003612,,2024-02-27,Damaged product,Refunded,22806.83
RTRN000233,ORDR003630,,2024-02-28,Product not as described,Refunded,46626.36
RTRN000234,ORDR003637,,2024-02-22,Quality issue,Refunded,5953.52
RTRN000235,ORDR003648,,2024-02-20,Customer changed mind,Refunded,3488.18
RTRN000236,ORDR003661,,2024-02-24,Quality issue,Refunded,16408.08
RTRN000237,ORDR003664,,2024-02-20,Damaged product,Refunded,44657.36
RTRN000238,ORDR003700,,2024-02-23,Quality issue,Rejected,143166.45
RTRN000239,ORDR003720,,2024-02-20,Damaged product,Refunded,1746.03
RTRN000240,ORDR003721,,2024-02-23,Wrong product,Refunded,2024.02
RTRN000241,ORDR003722,,2024-02-28,Product not as described,Refunded,272.41
RTRN000242,ORDR003745,,2024-02-21,Quality issue,Rejected,10001.79
RTRN000243,ORDR003771,,2024-02-20,Product not as described,Refunded,2277.56
RTRN000244,ORDR003779,,2024-02-20,Quality issue,Refunded,11179.85
RTRN000245,ORDR003785,,2024-02-18,Quality issue,Refunded,964.22
RTRN000246,ORDR003812,,2024-02-16,Damaged product,Refunded,70586.04
RTRN000247,ORDR003821,,2024-02-21,Damaged product,Rejected,29612.4
RTRN000248,ORDR003841,,2024-02-21,Customer changed mind,Rejected,2264.77
RTRN000249,ORDR003849,,2024-02-27,Product not as described,Refunded,488.9
RTRN000250,ORDR003850,,2024-02-18,Quality issue,Refunded,5918.01
RTRN000251,ORDR003859,,2024-02-20,Wrong product,Refunded,24669.74
RTRN000252,ORDR003873,,2024-03-02,Damaged product,Refunded,1251.51
RTRN000253,ORDR003885,,2024-02-22,Damaged product,Rejected,14166.35
RTRN000254,ORDR003889,,2024-02-22,Damaged product,Refunded,34031.91
RTRN000255,ORDR003907,,2024-03-01,Damaged product,Refunded,541.4
RTRN000256,ORDR003910,,2024-02-27,Late delivery,Rejected,306.54
RTRN000257,ORDR003919,,2024-02-21,Damaged product,Refunded,22727.05
RTRN000258,ORDR003935,,2024-02-25,Quality issue,Refunded,18448.05
RTRN000259,ORDR003936,,2024-02-27,Wrong product,Refunded,5301.67
RTRN000260,ORDR003979,,2024-02-22,Wrong product,Refunded,24407.32
RTRN000261,ORDR003985,,2024-03-06,Product not as described,Refunded,2521.81
RTRN000262,ORDR004001,,2024-02-24,Customer changed mind,Rejected,25317.44
RTRN000263,ORDR004003,,2024-03-01,Wrong product,Refunded,25763.27
RTRN000264,ORDR004004,,2024-03-10,Damaged product,Refunded,28644.26
RTRN000265,ORDR004009,,2024-02-26,Damaged product,Refunded,27149.02
RTRN000266,ORDR004022,,2024-02-23,Customer changed mind,Refunded,8021.58
RTRN000267,ORDR004023,,2024-02-27,Size issue,Refunded,4700.05
RTRN000268,ORDR004036,,2024-02-23,Product not as described,Refunded,403.11
RTRN000269,ORDR004038,,2024-03-04,Damaged product,Refunded,12727.43
RTRN000270,ORDR004051,,2024-02-27,Wrong product,Refunded,318.72
RTRN000271,ORDR004098,,2024-02-27,Customer changed mind,Refunded,1414.19
RTRN000272,ORDR004099,,2024-03-03,Size issue,Refunded,2752.47
RTRN000273,ORDR004112,,2024-02-23,Size issue,Refunded,2076.2
RTRN000274,ORDR004114,,2024-02-23,Damaged product,Refunded,385.38
RTRN000275,ORDR004118,,2024-02-24,Product not as described,Rejected,17423.3
RTRN000276,ORDR004140,,2024-02-21,Customer changed mind,Refunded,493.6
RTRN000277,ORDR004156,,2024-03-03,Product not as described,Refunded,3187.67
RTRN000278,ORDR004208,,2024-02-23,Size issue,Refunded,4222.61
RTRN000279,ORDR004219,,2024-03-03,Late delivery,Refunded,1455.48
RTRN000280,ORDR004223,,2024-03-01,Customer changed mind,Refunded,7260.61
RTRN000281,ORDR004228,,2024-03-04,Quality issue,Refunded,2746.62
RTRN000282,ORDR004270,,2024-03-03,Late delivery,Refunded,1687.57
RTRN000283,ORDR004275,,2024-03-04,Damaged product,Refunded,721.75
RTRN000284,ORDR004293,,2024-03-06,Size issue,Refunded,6762.81
RTRN000285,ORDR004301,,2024-02-24,Product not as described,Refunded,29637.91
RTRN000286,ORDR004339,,2024-03-05,Damaged product,Refunded,217.15
RTRN000287,ORDR004357,,2024-03-05,Product not as described,Refunded,66478.86
RTRN000288,ORDR004371,,2024-03-10,Customer changed mind,Refunded,11759.01
RTRN000289,ORDR004378,,2024-03-01,Wrong product,Refunded,15790.79
RTRN000290,ORDR004396,,2024-02-28,Wrong product,Refunded,540.89
RTRN000291,ORDR004426,,2024-02-29,Wrong product,Refunded,16004.85
RTRN000292,ORDR004445,,2024-03-07,Wrong product,Refunded,3692.72
RTRN000293,ORDR004489,,2024-02-24,Product not as described,Rejected,9135.43
RTRN000294,ORDR004492,,2024-03-08,Damaged product,Refunded,2833.25
RTRN000295,ORDR004493,,2024-03-10,Product not as described,Rejected,2952.78
RTRN000296,ORDR004498,,2024-03-03,Quality issue,Rejected,870.3
RTRN000297,ORDR004501,,2024-02-26,Quality issue,Refunded,874.3
RTRN000298,ORDR004504,,2024-03-11,Customer changed mind,Refunded,1842.2
RTRN000299,ORDR004510,,2024-03-03,Damaged product,Refunded,8137.37
RTRN000300,ORDR004512,,2024-03-09,Size issue,Refunded,8823.78
RTRN000301,ORDR004518,,2024-03-05,Customer changed mind,Refunded,23492.39
RTRN000302,ORDR004588,,2024-03-10,Damaged product,Rejected,1397.05
RTRN000303,ORDR004618,,2024-03-01,Wrong product,Refunded,374.61
RTRN000304,ORDR004627,,2024-02-25,Customer changed mind,Rejected,33438.69
RTRN000305,ORDR004656,,2024-03-04,Damaged product,Refunded,17618.48
RTRN000306,ORDR004689,,2024-03-11,Damaged product,Refunded,3211.37
RTRN000307,ORDR004690,,2024-03-06,Wrong product,Refunded,7614.04
RTRN000308,ORDR004692,,2024-03-16,Damaged product,Rejected,30799.83
RTRN000309,ORDR004696,,2024-03-05,Size issue,Refunded,11163.3
RTRN000310,ORDR004710,,2024-03-05,Wrong product,Refunded,2524.24
RTRN000311,ORDR004718,,2024-03-11,Size issue,Refunded,320.34
RTRN000312,ORDR004721,,2024-03-03,Size issue,Refunded,672.55
RTRN000313,ORDR004726,,2024-03-05,Damaged product,Rejected,174909.39
RTRN000314,ORDR004757,,2024-03-10,Wrong product,Refunded,15778.63
RTRN000315,ORDR004774,,2024-03-07,Product not as described,Refunded,69014.74
RTRN000316,ORDR004793,,2024-03-10,Customer changed mind,Refunded,1520.76
RTRN000317,ORDR004821,,2024-03-12,Customer changed mind,Refunded,1496.01
RTRN000318,ORDR004851,,2024-03-14,Customer changed mind,Refunded,188.92
RTRN000319,ORDR004875,,2024-03-10,Customer changed mind,Refunded,1101.32
RTRN000320,ORDR004884,,2024-02-28,Damaged product,Rejected,1547.99
RTRN000321,ORDR004890,,2024-03-13,Quality issue,Refunded,61869.76
RTRN000322,ORDR004903,,2024-03-04,Wrong product,Refunded,1383.25
RTRN000323,ORDR004914,,2024-03-11,Customer changed mind,Refunded,996.9
RTRN000324,ORDR004937,,2024-03-05,Wrong product,Refunded,2096.49
RTRN000325,ORDR004940,,2024-03-01,Wrong product,Refunded,57650.84
RTRN000326,ORDR004943,,2024-03-12,Damaged product,Rejected,890.94
RTRN000327,ORDR004946,,2024-03-14,Damaged product,Refunded,10361.27
RTRN000328,ORDR004962,,2024-03-15,Quality issue,Refunded,102026.54
RTRN000329,ORDR004966,,2024-03-10,Customer changed mind,Rejected,342.16
RTRN000330,ORDR004974,,2024-03-13,Damaged product,Refunded,1094.82
RTRN000331,ORDR005023,,2024-03-15,Customer changed mind,Refunded,6013.81
RTRN000332,ORDR005025,,2024-03-14,Damaged product,Refunded,22271.65
RTRN000333,ORDR005074,,2024-03-05,Quality issue,Refunded,2890.93
RTRN000334,ORDR005108,,2024-03-11,Quality issue,Refunded,5775.54
RTRN000335,ORDR005121,,2024-03-22,Customer changed mind,Refunded,787.52
RTRN000336,ORDR005174,,2024-03-06,Size issue,Rejected,2325.15
RTRN000337,ORDR005178,,2024-03-15,Customer changed mind,Refunded,5568.2
RTRN000338,ORDR005181,,2024-03-13,Customer changed mind,Refunded,30495.02
RTRN000339,ORDR005194,,2024-03-07,Late delivery,Refunded,331.53
RTRN000340,ORDR005209,,2024-03-14,Wrong product,Refunded,24591.04
RTRN000341,ORDR005218,,2024-03-06,Product not as described,Refunded,1812.08
RTRN000342,ORDR005254,,2024-03-18,Damaged product,Rejected,14497.74
RTRN000343,ORDR005256,,2024-03-06,Customer changed mind,Refunded,1028.57
RTRN000344,ORDR005266,,2024-03-07,Wrong product,Refunded,4781.62
RTRN000345,ORDR005277,,2024-03-17,Size issue,Refunded,2612.13
RTRN000346,ORDR005286,,2024-03-03,Damaged product,Rejected,18125.93
RTRN000347,ORDR005306,,2024-03-11,Product not as described,Refunded,6902.11
RTRN000348,ORDR005331,,2024-03-14,Customer changed mind,Refunded,14941.52
RTRN000349,ORDR005361,,2024-03-18,Product not as described,Refunded,806.47
RTRN000350,ORDR005385,,2024-03-19,Wrong product,Refunded,4469.61
RTRN000351,ORDR005435,,2024-03-17,Quality issue,Refunded,26161.79
RTRN000352,ORDR005437,,2024-03-16,Product not as described,Refunded,10422.68
RTRN000353,ORDR005443,,2024-03-18,Customer changed mind,Refunded,273.77
RTRN000354,ORDR005449,,2024-03-17,Customer changed mind,Rejected,1404.25
RTRN000355,ORDR005474,,2024-03-09,Late delivery,Refunded,18511.03
RTRN000356,ORDR005475,,2024-03-08,Customer changed mind,Refunded,787.45
RTRN000357,ORDR005507,,2024-03-07,Product not as described,Refunded,27071.52
RTRN000358,ORDR005512,,2024-03-12,Customer changed mind,Refunded,1434.68
RTRN000359,ORDR005518,,2024-03-08,Product not as described,Refunded,9308.93
RTRN000360,ORDR005519,,2024-03-10,Size issue,Refunded,5052.16
RTRN000361,ORDR005532,,2024-03-22,Damaged product,Rejected,935.95
RTRN000362,ORDR005533,,2024-03-08,Damaged product,Refunded,2220.8
RTRN000363,ORDR005545,,2024-03-20,Quality issue,Rejected,3312.17
RTRN000364,ORDR005547,,2024-03-20,Quality issue,Rejected,34180.33
RTRN000365,ORDR005563,,2024-03-11,Size issue,Refunded,243.96
RTRN000366,ORDR005565,,2024-03-12,Damaged product,Refunded,14573.7
