payment_id,order_id,payment_method,payment_status,payment_amount,payment_date
PYMT000056,ORDR000056,UPI,Failed,0.0,
PYMT000057,ORDR000057,COD,Success,16776.38,2024-01-07
PYMT000058,ORDR000058,UPI,Success,2295.98,2024-01-01
PYMT000059,ORDR000059,UPI,Success,19134.84,2024-01-01
PYMT000060,ORDR000060,Wallet,Success,747.24,2024-01-01
PYMT000061,ORDR000061,Debit Card,Success,2942.87,2024-01-01
PYMT000062,ORDR000062,Credit Card,Success,563.61,2024-01-01
PYMT000063,ORDR000063,UPI,Success,13702.08,2024-01-01
PYMT000064,ORDR000064,UPI,Failed,0.0,
PYMT000065,ORDR000065,Debit Card,Success,18263.23,2024-01-01
PYMT000066,ORDR000066,UPI,Success,17216.0,2024-01-01
PYMT000067,ORDR000067,COD,Success,63901.07,2024-01-10
PYMT000068,ORDR000068,UPI,Success,1528.02,2024-01-01
PYMT000069,ORDR000069,UPI,Success,1008.07,2024-01-01
PYMT000070,ORDR000070,COD,Success,17848.4,2024-01-09
PYMT000071,ORDR000071,UPI,Success,318.72,2024-01-01
PYMT000072,ORDR000072,UPI,Success,5023.47,2024-01-01
PYMT000073,ORDR000073,COD,Success,15913.66,2024-01-05
PYMT000074,ORDR000074,UPI,Success,877.66,2024-01-01
PYMT000075,ORDR000075,COD,Success,4077.49,2024-01-07
PYMT000076,ORDR000076,Debit Card,Success,7700.83,2024-01-01
PYMT000077,ORDR000077,Net Banking,Success,48372.01,2024-01-01
PYMT000078,ORDR000078,UPI,Success,4890.75,2024-01-01
PYMT000079,ORDR000079,Credit Card,Success,15591.36,2024-01-01
PYMT000080,ORDR000080,Net Banking,Success,2395.52,2024-01-01
PYMT000081,ORDR000081,UPI,Success,868.8,2024-01-01
PYMT000082,ORDR000082,COD,Success,20169.88,2024-01-11
PYMT000083,ORDR000083,UPI,Success,16275.97,2024-01-01
PYMT000084,ORDR000084,UPI,Success,22561.77,2024-01-01
PYMT000085,ORDR000085,UPI,Success,51434.58,2024-01-01
PYMT000086,ORDR000086,COD,Success,2502.86,2024-01-10
PYMT000087,ORDR000087,Debit Card,Success,3906.04,2024-01-01
PYMT000088,ORDR000088,COD,Success,9761.01,2024-01-05
PYMT000089,ORDR000089,UPI,Success,510.4,2024-01-01
PYMT000090,ORDR000090,Credit Card,Refunded,2406.73,2024-01-01
PYMT000091,ORDR000091,UPI,Success,5552.47,2024-01-01
PYMT000092,ORDR000092,Debit Card,Success,11647.35,2024-01-01
PYMT000093,ORDR000093,UPI,Success,3703.04,2024-01-01
PYMT000094,ORDR000094,Wallet,Success,51622.04,2024-01-01
PYMT000095,ORDR000095,Credit Card,Success,25636.32,2024-01-01
PYMT000096,ORDR000096,Net Banking,Success,12806.89,2024-01-02
PYMT000097,ORDR000097,Net Banking,Success,3163.03,2024-01-02
PYMT000098,ORDR000098,Credit Card,Success,763.86,2024-01-02
PYMT000099,ORDR000099,Net Banking,Success,2631.71,2024-01-02
PYMT000100,ORDR000100,Credit Card,Pending,69989.02,
PYMT000101,ORDR000101,UPI,Refunded,75.36,2024-01-02
PYMT000102,ORDR000102,Wallet,Success,224991.1,2024-01-02
PYMT000103,ORDR000103,COD,Success,2612.03,2024-01-16
PYMT000104,ORDR000104,Credit Card,Success,445.53,2024-01-02
PYMT000105,ORDR000105,UPI,Success,17737.96,2024-01-02
PYMT000106,ORDR000106,UPI,Success,1338.37,2024-01-02
PYMT000107,ORDR000107,COD,Success,330.36,2024-01-10
PYMT000108,ORDR000108,Credit Card,Success,6947.6,2024-01-02
PYMT000109,ORDR000109,COD,Success,1012.62,2024-01-08
PYMT000110,ORDR000110,UPI,Success,3030.79,2024-01-02
PYMT000111,ORDR000111,UPI,Success,8486.15,2024-01-02
PYMT000112,ORDR000112,UPI,Success,24117.68,2024-01-02
PYMT000113,ORDR000113,Wallet,Success,53619.45,2024-01-02
PYMT000114,ORDR000114,UPI,Success,10749.67,2024-01-02
PYMT000115,ORDR000115,Debit Card,Success,9227.93,2024-01-02
PYMT000116,ORDR000116,Credit Card,Pending,4637.66,
PYMT000117,ORDR000117,Credit Card,Success,1232.69,2024-01-02
PYMT000118,ORDR000118,COD,Success,1915.89,2024-01-15
PYMT000119,ORDR000119,Credit Card,Success,9188.96,2024-01-02
PYMT000120,ORDR000120,UPI,Success,10503.6,2024-01-02
PYMT000121,ORDR000121,COD,Success,1104.36,2024-01-08
PYMT000122,ORDR000122,UPI,Success,1458.62,2024-01-02
PYMT000123,ORDR000123,UPI,Success,11848.65,2024-01-02
PYMT000124,ORDR000124,Debit Card,Success,72963.84,2024-01-02
PYMT000125,ORDR000125,UPI,Success,65888.96,2024-01-02
PYMT000126,ORDR000126,UPI,Success,11496.57,2024-01-02
PYMT000127,ORDR000127,UPI,Failed,0.0,
PYMT000128,ORDR000128,UPI,Success,856.63,2024-01-02
PYMT000129,ORDR000129,UPI,Success,19612.87,2024-01-02
PYMT000130,ORDR000130,UPI,Success,26421.37,2024-01-02
PYMT000131,ORDR000131,COD,Failed,0.0,
PYMT000132,ORDR000132,UPI,Success,23461.47,2024-01-02
PYMT000133,ORDR000133,UPI,Success,1775.57,2024-01-02
PYMT000134,ORDR000134,Credit Card,Success,2502.56,2024-01-02
PYMT000135,ORDR000135,UPI,Success,9357.53,2024-01-02
PYMT000136,ORDR000136,COD,Success,2131.04,2024-01-08
PYMT000137,ORDR000137,Credit Card,Pending,1674.04,
PYMT000138,ORDR000138,COD,Success,16119.21,2024-01-09
PYMT000139,ORDR000139,UPI,Success,2300.23,2024-01-02
PYMT000140,ORDR000140,Credit Card,Success,2355.41,2024-01-02
PYMT000141,ORDR000141,Debit Card,Success,10677.01,2024-01-02
PYMT000142,ORDR000142,UPI,Pending,5615.82,
PYMT000143,ORDR000143,UPI,Success,408.53,2024-01-02
PYMT000144,ORDR000144,COD,Success,3376.08,2024-01-07
PYMT000145,ORDR000145,COD,Pending,23346.54,
PYMT000146,ORDR000146,UPI,Success,149.98,2024-01-02
PYMT000147,ORDR000147,COD,Success,7908.14,2024-01-05
PYMT000148,ORDR000148,UPI,Success,73422.48,2024-01-02
PYMT000149,ORDR000149,UPI,Success,877.59,2024-01-02
PYMT000150,ORDR000150,Credit Card,Success,286.4,2024-01-02
PYMT000151,ORDR000151,UPI,Success,10559.24,2024-01-02
PYMT000152,ORDR000152,UPI,Pending,180.16,
PYMT000153,ORDR000153,Net Banking,Success,15483.25,2024-01-02
PYMT000154,ORDR000154,COD,Failed,0.0,
PYMT000155,ORDR000155,Wallet,Success,6781.51,2024-01-02
PYMT000156,ORDR000156,UPI,Success,2955.96,2024-01-02
PYMT000157,ORDR000157,COD,Success,847.55,2024-01-07
PYMT000158,ORDR000158,COD,Failed,0.0,
PYMT000159,ORDR000159,Credit Card,Success,171.51,2024-01-02
PYMT000160,ORDR000160,UPI,Success,672.15,2024-01-02
PYMT000161,ORDR000161,Credit Card,Pending,9026.52,
PYMT000162,ORDR000162,UPI,Success,9753.18,2024-01-02
PYMT000163,ORDR000163,UPI,Success,20705.47,2024-01-02
PYMT000164,ORDR000164,Credit Card,Success,1113.3,2024-01-02
PYMT000165,ORDR000165,COD,Success,4165.94,2024-01-04
PYMT000166,ORDR000166,COD,Success,66969.11,2024-01-08
PYMT000167,ORDR000167,UPI,Success,1958.0,2024-01-02
PYMT000168,ORDR000168,UPI,Success,706.84,2024-01-02
PYMT000169,ORDR000169,UPI,Pending,192298.96,
PYMT000170,ORDR000170,Net Banking,Refunded,12148.76,2024-01-02
PYMT000171,ORDR000171,Net Banking,Success,2729.88,2024-01-02
PYMT000172,ORDR000172,Credit Card,Success,951.53,2024-01-02
PYMT000173,ORDR000173,Net Banking,Success,3861.61,2024-01-02
PYMT000174,ORDR000174,Wallet,Success,64530.72,2024-01-02
PYMT000175,ORDR000175,UPI,Success,36297.96,2024-01-02
PYMT000176,ORDR000176,UPI,Success,59602.76,2024-01-02
PYMT000177,ORDR000177,UPI,Success,11632.84,2024-01-02
PYMT000178,ORDR000178,COD,Success,1584.53,2024-01-11
PYMT000179,ORDR000179,COD,Success,4800.93,2024-01-10
PYMT000180,ORDR000180,UPI,Success,1176.67,2024-01-02
PYMT000181,ORDR000181,UPI,Success,8926.05,2024-01-02
PYMT000182,ORDR000182,Debit Card,Success,700.22,2024-01-02
PYMT000183,ORDR000183,COD,Success,933.31,2024-01-06
PYMT000184,ORDR000184,UPI,Success,2028.09,2024-01-02
PYMT000185,ORDR000185,UPI,Success,1190.75,2024-01-03
PYMT000186,ORDR000186,COD,Success,1714.43,2024-01-07
PYMT000187,ORDR000187,Credit Card,Pending,35735.66,
PYMT000188,ORDR000188,Debit Card,Success,11702.43,2024-01-03
PYMT000189,ORDR000189,COD,Success,4011.82,2024-01-11
PYMT000190,ORDR000190,UPI,Failed,0.0,
PYMT000191,ORDR000191,COD,Success,7312.52,2024-01-10
PYMT000192,ORDR000192,UPI,Success,15229.49,2024-01-03
PYMT000193,ORDR000193,UPI,Success,339.8,2024-01-03
PYMT000194,ORDR000194,Debit Card,Success,555.74,2024-01-03
PYMT000195,ORDR000195,Net Banking,Success,57.33,2024-01-03
PYMT000196,ORDR000196,COD,Success,11468.0,2024-01-14
PYMT000197,ORDR000197,Debit Card,Pending,688.86,
PYMT000198,ORDR000198,COD,Success,8299.91,2024-01-09
PYMT000199,ORDR000199,Debit Card,Success,1336.75,2024-01-03
PYMT000200,ORDR000200,Credit Card,Success,52361.79,2024-01-03
PYMT000201,ORDR000201,COD,Success,25981.36,2024-01-05
PYMT000202,ORDR000202,Credit Card,Success,5182.72,2024-01-03
PYMT000203,ORDR000203,COD,Success,825.61,2024-01-15
PYMT000204,ORDR000204,Credit Card,Success,31434.46,2024-01-03
PYMT000205,ORDR000205,UPI,Success,48582.64,2024-01-03
PYMT000206,ORDR000206,UPI,Success,209.39,2024-01-03
PYMT000207,ORDR000207,UPI,Success,5644.91,2024-01-03
PYMT000208,ORDR000208,Debit Card,Success,7228.44,2024-01-03
PYMT000209,ORDR000209,UPI,Success,1519.94,2024-01-03
PYMT000210,ORDR000210,UPI,Success,29961.29,2024-01-03
PYMT000211,ORDR000211,Net Banking,Success,1627.18,2024-01-03
PYMT000212,ORDR000212,Net Banking,Success,47915.56,2024-01-03
PYMT000213,ORDR000213,COD,Success,1794.57,2024-01-10
PYMT000214,ORDR000214,UPI,Success,5840.3,2024-01-03
PYMT000215,ORDR000215,UPI,Success,19379.95,2024-01-03
PYMT000216,ORDR000216,Credit Card,Success,476.05,2024-01-03
PYMT000217,ORDR000217,UPI,Success,728.9,2024-01-03
PYMT000218,ORDR000218,UPI,Success,4057.98,2024-01-03
PYMT000219,ORDR000219,Credit Card,Success,9252.51,2024-01-03
PYMT000220,ORDR000220,UPI,Success,38653.88,2024-01-03
PYMT000221,ORDR000221,UPI,Success,233.1,2024-01-03
PYMT000222,ORDR000222,UPI,Success,10209.14,2024-01-03
PYMT000223,ORDR000223,COD,Success,8041.04,2024-01-10
PYMT000224,ORDR000224,UPI,Success,354.4,2024-01-03
PYMT000225,ORDR000225,COD,Success,21413.04,2024-01-12
PYMT000226,ORDR000226,UPI,Success,5305.08,2024-01-03
PYMT000227,ORDR000227,Credit Card,Success,3401.46,2024-01-03
PYMT000228,ORDR000228,Wallet,Success,4486.84,2024-01-03
PYMT000229,ORDR000229,UPI,Success,1695.08,2024-01-03
PYMT000230,ORDR000230,Credit Card,Success,154.7,2024-01-03
PYMT000231,ORDR000231,UPI,Success,18843.36,2024-01-03
PYMT000232,ORDR000232,Debit Card,Success,23698.09,2024-01-03
PYMT000233,ORDR000233,Debit Card,Success,987.3,2024-01-03
PYMT000234,ORDR000234,Debit Card,Success,7379.47,2024-01-03
PYMT000235,ORDR000235,Debit Card,Success,1425.36,2024-01-03
PYMT000236,ORDR000236,UPI,Success,11135.82,2024-01-03
PYMT000237,ORDR000237,Net Banking,Success,1917.11,2024-01-03
PYMT000238,ORDR000238,Credit Card,Success,29665.87,2024-01-03
PYMT000239,ORDR000239,COD,Success,9353.71,2024-01-13
PYMT000240,ORDR000240,Credit Card,Success,12013.87,2024-01-03
PYMT000241,ORDR000241,COD,Success,6133.45,2024-01-05
PYMT000242,ORDR000242,UPI,Pending,2295.16,
PYMT000243,ORDR000243,Wallet,Success,2288.16,2024-01-03
PYMT000244,ORDR000244,UPI,Success,12392.86,2024-01-03
PYMT000245,ORDR000245,Credit Card,Success,3581.73,2024-01-03
PYMT000246,ORDR000246,UPI,Success,587.29,2024-01-03
PYMT000247,ORDR000247,UPI,Success,374.72,2024-01-03
PYMT000248,ORDR000248,UPI,Success,20762.59,2024-01-03
PYMT000249,ORDR000249,COD,Success,215.3,2024-01-09
PYMT000250,ORDR000250,Net Banking,Pending,20141.09,
PYMT000251,ORDR000251,UPI,Success,3222.2,2024-01-03
PYMT000252,ORDR000252,UPI,Success,2322.12,2024-01-03
PYMT000253,ORDR000253,COD,Success,597.0,2024-01-07
PYMT000254,ORDR000254,Credit Card,Success,845.67,2024-01-03
PYMT000255,ORDR000255,COD,Success,5190.21,2024-01-08
PYMT000256,ORDR000256,UPI,Success,788.97,2024-01-04
PYMT000257,ORDR000257,UPI,Success,354.94,2024-01-04
PYMT000258,ORDR000258,UPI,Success,25056.79,2024-01-04
PYMT000259,ORDR000259,COD,Success,168.39,2024-01-13
PYMT000260,ORDR000260,COD,Success,9639.2,2024-01-07
PYMT000261,ORDR000261,Credit Card,Success,640.23,2024-01-04
PYMT000262,ORDR000262,UPI,Success,20741.75,2024-01-04
PYMT000263,ORDR000263,UPI,Success,42827.9,2024-01-04
PYMT000264,ORDR000264,COD,Success,35009.37,2024-01-09
PYMT000265,ORDR000265,COD,Success,3109.44,2024-01-10
PYMT000266,ORDR000266,COD,Success,31122.61,2024-01-10
PYMT000267,ORDR000267,Credit Card,Success,453.53,2024-01-04
PYMT000268,ORDR000268,Credit Card,Success,293.13,2024-01-04
PYMT000269,ORDR000269,Wallet,Success,3723.4,2024-01-04
PYMT000270,ORDR000270,UPI,Success,132522.19,2024-01-04
PYMT000271,ORDR000271,COD,Success,82578.76,2024-01-13
PYMT000272,ORDR000272,COD,Failed,0.0,
PYMT000273,ORDR000273,UPI,Success,6260.23,2024-01-04
PYMT000274,ORDR000274,UPI,Success,44614.85,2024-01-04
PYMT000275,ORDR000275,COD,Success,23304.04,2024-01-13
PYMT000276,ORDR000276,UPI,Success,1211.38,2024-01-04
PYMT000277,ORDR000277,UPI,Success,6478.4,2024-01-04
PYMT000278,ORDR000278,COD,Success,5544.29,2024-01-09
PYMT000279,ORDR000279,Net Banking,Success,420.09,2024-01-04
PYMT000280,ORDR000280,COD,Success,239395.9,2024-01-11
PYMT000281,ORDR000281,Debit Card,Success,3704.23,2024-01-04
PYMT000282,ORDR000282,UPI,Success,43887.53,2024-01-04
PYMT000283,ORDR000283,COD,Success,1222.3,2024-01-09
PYMT000284,ORDR000284,Credit Card,Success,2110.74,2024-01-04
PYMT000285,ORDR000285,COD,Success,426.41,2024-01-12
PYMT000286,ORDR000286,Debit Card,Success,11102.03,2024-01-04
PYMT000287,ORDR000287,UPI,Success,524.97,2024-01-04
PYMT000288,ORDR000288,Credit Card,Success,5101.15,2024-01-04
PYMT000289,ORDR000289,UPI,Success,36609.75,2024-01-04
PYMT000290,ORDR000290,COD,Failed,0.0,
PYMT000291,ORDR000291,UPI,Success,5372.97,2024-01-04
PYMT000292,ORDR000292,UPI,Success,4381.27,2024-01-04
PYMT000293,ORDR000293,Credit Card,Success,6710.44,2024-01-04
PYMT000294,ORDR000294,COD,Success,3768.44,2024-01-14
PYMT000295,ORDR000295,UPI,Success,72214.84,2024-01-04
PYMT000296,ORDR000296,UPI,Success,2795.64,2024-01-04
PYMT000297,ORDR000297,COD,Success,2402.38,2024-01-11
PYMT000298,ORDR000298,Credit Card,Success,4775.06,2024-01-04
PYMT000299,ORDR000299,Credit Card,Success,20302.31,2024-01-04
PYMT000300,ORDR000300,Wallet,Success,1949.91,2024-01-04
PYMT000301,ORDR000301,UPI,Refunded,61180.5,2024-01-04
PYMT000302,ORDR000302,Credit Card,Success,1112.15,2024-01-04
PYMT000303,ORDR000303,UPI,Pending,3465.34,
PYMT000304,ORDR000304,UPI,Success,24612.86,2024-01-04
PYMT000305,ORDR000305,UPI,Success,1294.96,2024-01-04
PYMT000306,ORDR000306,Wallet,Success,6061.19,2024-01-04
PYMT000307,ORDR000307,Debit Card,Success,2257.63,2024-01-04
PYMT000308,ORDR000308,Credit Card,Success,834.78,2024-01-04
PYMT000309,ORDR000309,COD,Success,73377.14,2024-01-09
PYMT000310,ORDR000310,Wallet,Success,18340.51,2024-01-04
PYMT000311,ORDR000311,UPI,Success,5593.45,2024-01-04
PYMT000312,ORDR000312,Net Banking,Success,34377.1,2024-01-04
PYMT000313,ORDR000313,COD,Pending,1235.19,
PYMT000314,ORDR000314,UPI,Success,51362.18,2024-01-04
PYMT000315,ORDR000315,Credit Card,Success,588.07,2024-01-04
PYMT000316,ORDR000316,COD,Success,73917.79,2024-01-12
PYMT000317,ORDR000317,UPI,Success,433.91,2024-01-04
PYMT000318,ORDR000318,UPI,Success,1381.45,2024-01-04
PYMT000319,ORDR000319,UPI,Success,1291.25,2024-01-04
PYMT000320,ORDR000320,Debit Card,Success,4086.64,2024-01-04
PYMT000321,ORDR000321,Credit Card,Success,1264.23,2024-01-04
PYMT000322,ORDR000322,Debit Card,Success,1987.78,2024-01-04
PYMT000323,ORDR000323,Debit Card,Success,1858.09,2024-01-04
PYMT000324,ORDR000324,Wallet,Success,4888.74,2024-01-04
PYMT000325,ORDR000325,UPI,Failed,0.0,
PYMT000326,ORDR000326,Debit Card,Success,35930.94,2024-01-04
PYMT000327,ORDR000327,UPI,Success,2645.75,2024-01-04
PYMT000328,ORDR000328,UPI,Refunded,15973.99,2024-01-04
PYMT000329,ORDR000329,COD,Success,504.5,2024-01-13
PYMT000330,ORDR000330,UPI,Success,2837.93,2024-01-04
PYMT000331,ORDR000331,UPI,Success,906.65,2024-01-04
PYMT000332,ORDR000332,Credit Card,Success,1125.71,2024-01-04
PYMT000333,ORDR000333,Credit Card,Success,46651.6,2024-01-04
PYMT000334,ORDR000334,UPI,Success,2534.34,2024-01-04
PYMT000335,ORDR000335,Debit Card,Success,1281.03,2024-01-04
PYMT000336,ORDR000336,COD,Success,821.8,2024-01-10
PYMT000337,ORDR000337,COD,Failed,0.0,
PYMT000338,ORDR000338,UPI,Success,14369.1,2024-01-04
PYMT000339,ORDR000339,UPI,Success,7537.48,2024-01-04
PYMT000340,ORDR000340,UPI,Failed,0.0,
PYMT000341,ORDR000341,UPI,Success,6811.12,2024-01-05
PYMT000342,ORDR000342,Credit Card,Success,26674.22,2024-01-05
PYMT000343,ORDR000343,UPI,Success,194.74,2024-01-05
PYMT000344,ORDR000344,Net Banking,Success,757.81,2024-01-05
PYMT000345,ORDR000345,UPI,Success,5671.85,2024-01-05
PYMT000346,ORDR000346,Wallet,Success,104033.54,2024-01-05
PYMT000347,ORDR000347,COD,Success,1647.09,2024-01-11
PYMT000348,ORDR000348,UPI,Success,8027.37,2024-01-05
PYMT000349,ORDR000349,UPI,Success,550.49,2024-01-05
PYMT000350,ORDR000350,UPI,Success,2292.21,2024-01-05
PYMT000351,ORDR000351,Debit Card,Success,5676.66,2024-01-05
PYMT000352,ORDR000352,Debit Card,Success,1031.32,2024-01-05
PYMT000353,ORDR000353,Debit Card,Success,2711.2,2024-01-05
PYMT000354,ORDR000354,UPI,Success,15000.75,2024-01-05
PYMT000355,ORDR000355,UPI,Refunded,451.09,2024-01-05
PYMT000356,ORDR000356,Credit Card,Success,3382.63,2024-01-05
PYMT000357,ORDR000357,COD,Success,3906.68,2024-01-10
PYMT000358,ORDR000358,COD,Success,356.07,2024-01-10
PYMT000359,ORDR000359,COD,Success,7135.57,2024-01-11
PYMT000360,ORDR000360,UPI,Success,218.7,2024-01-05
PYMT000361,ORDR000361,COD,Success,859.45,2024-01-12
PYMT000362,ORDR000362,UPI,Success,424.08,2024-01-05
PYMT000363,ORDR000363,Credit Card,Success,36277.94,2024-01-05
PYMT000364,ORDR000364,UPI,Success,8864.37,2024-01-05
PYMT000365,ORDR000365,Credit Card,Success,880.84,2024-01-05
PYMT000366,ORDR000366,UPI,Success,24072.08,2024-01-05
PYMT000367,ORDR000367,UPI,Success,9115.36,2024-01-05
PYMT000368,ORDR000368,Credit Card,Success,11767.5,2024-01-05
PYMT000369,ORDR000369,Credit Card,Success,151.24,2024-01-05
PYMT000370,ORDR000370,COD,Success,6697.26,2024-01-11
PYMT000371,ORDR000371,Debit Card,Success,271.93,2024-01-05
PYMT000372,ORDR000372,UPI,Success,273.14,2024-01-05
PYMT000373,ORDR000373,COD,Success,349.11,2024-01-09
PYMT000374,ORDR000374,Debit Card,Failed,0.0,
PYMT000375,ORDR000375,Credit Card,Success,5719.58,2024-01-05
PYMT000376,ORDR000376,Credit Card,Success,135.7,2024-01-05
PYMT000377,ORDR000377,COD,Success,897.94,2024-01-15
PYMT000378,ORDR000378,UPI,Success,2351.33,2024-01-05
PYMT000379,ORDR000379,COD,Pending,280.47,
PYMT000380,ORDR000380,UPI,Success,18090.69,2024-01-05
PYMT000381,ORDR000381,UPI,Success,2566.06,2024-01-05
PYMT000382,ORDR000382,COD,Failed,0.0,
PYMT000383,ORDR000383,UPI,Success,1272.49,2024-01-05
PYMT000384,ORDR000384,Wallet,Success,11350.02,2024-01-05
PYMT000385,ORDR000385,UPI,Success,202.65,2024-01-05
PYMT000386,ORDR000386,Credit Card,Success,25832.55,2024-01-05
PYMT000387,ORDR000387,UPI,Success,762.19,2024-01-05
PYMT000388,ORDR000388,UPI,Success,1169.29,2024-01-05
PYMT000389,ORDR000389,UPI,Success,1009.72,2024-01-05
PYMT000390,ORDR000390,COD,Success,896.84,2024-01-13
PYMT000391,ORDR000391,Credit Card,Success,1685.79,2024-01-05
PYMT000392,ORDR000392,COD,Failed,0.0,
PYMT000393,ORDR000393,UPI,Success,8491.43,2024-01-05
PYMT000394,ORDR000394,UPI,Success,10704.83,2024-01-05
PYMT000395,ORDR000395,UPI,Success,28212.47,2024-01-05
PYMT000396,ORDR000396,Net Banking,Success,8873.04,2024-01-05
PYMT000397,ORDR000397,UPI,Success,2922.32,2024-01-05
PYMT000398,ORDR000398,UPI,Refunded,31563.54,2024-01-05
PYMT000399,ORDR000399,UPI,Success,589.51,2024-01-05
PYMT000400,ORDR000400,UPI,Success,90801.62,2024-01-05
PYMT000401,ORDR000401,Debit Card,Success,1411.14,2024-01-05
PYMT000402,ORDR000402,UPI,Success,640.95,2024-01-05
PYMT000403,ORDR000403,UPI,Success,10327.71,2024-01-05
PYMT000404,ORDR000404,UPI,Success,2337.42,2024-01-05
PYMT000405,ORDR000405,UPI,Success,4037.65,2024-01-05
PYMT000406,ORDR000406,COD,Success,1153.44,2024-01-12
PYMT000407,ORDR000407,COD,Success,7510.38,2024-01-12
PYMT000408,ORDR000408,UPI,Success,8978.95,2024-01-05
PYMT000409,ORDR000409,COD,Success,7250.4,2024-01-10
PYMT000410,ORDR000410,COD,Success,7936.98,2024-01-12
PYMT000411,ORDR000411,UPI,Success,2525.31,2024-01-05
PYMT000412,ORDR000412,Wallet,Success,13062.52,2024-01-05
PYMT000413,ORDR000413,Credit Card,Success,1292.44,2024-01-05
PYMT000414,ORDR000414,UPI,Success,5371.29,2024-01-05
PYMT000415,ORDR000415,UPI,Success,15597.8,2024-01-05
PYMT000416,ORDR000416,Credit Card,Success,43956.95,2024-01-05
PYMT000417,ORDR000417,Credit Card,Success,2536.89,2024-01-05
PYMT000418,ORDR000418,UPI,Success,187.99,2024-01-05
PYMT000419,ORDR000419,UPI,Success,2927.52,2024-01-05
PYMT000420,ORDR000420,COD,Success,3754.27,2024-01-12
PYMT000421,ORDR000421,UPI,Success,1207.89,2024-01-05
PYMT000422,ORDR000422,COD,Success,2976.76,2024-01-13
PYMT000423,ORDR000423,UPI,Success,839.68,2024-01-05
PYMT000424,ORDR000424,UPI,Success,14750.7,2024-01-05
PYMT000425,ORDR000425,Debit Card,Success,34768.18,2024-01-05
